SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
100,0.11395,0.802517,0.893721,0.418055,1.1,1.08,0.2,0.2,3
100,0.10244,0.80398,0.894564,0.422973,1.8,0.97,0.2,0.2,3
100,0.101724,0.800683,0.89275,0.415295,1.82,0.98,0.2,0.2,3

120,0.103034,0.792769,0.887966,0.460207,1.24,1.22,0.2,0.2,3
120,0.106535,0.794485,0.888673,0.445303,1.18,1.18,0.2,0.2,3
120,0.098446,0.793977,0.888728,0.442593,1.19,1.18,0.2,0.2,3
120,0.099115,0.793263,0.888482,0.45288,1.19,1.18,0.2,0.2,3
120,0.104316,0.79392,0.888482,0.456042,1.89,1.04,0.2,0.2,3
120,0.104468,0.792916,0.887974,0.455088,1.84,1.01,0.2,0.2,3
120,0.106195,0.794443,0.888787,0.440185,1.84,1.02,0.2,0.2,3
120,0.114179,0.794883,0.888996,0.458902,1.75,0.95,0.2,0.2,3
120,0.104393,0.794502,0.889091,0.449719,1.82,1,0.2,0.2,3
120,0.102476,0.795032,0.889332,0.451877,1.88,1.04,0.2,0.2,3
120,0.098664,0.79506,0.889271,0.438278,2.26,1.01,0.2,0.2,3
120,0.108311,0.795336,0.889388,0.434163,1.78,0.97,0.2,0.2,3
120,0.098584,0.794961,0.889371,0.448163,1.86,1.02,0.2,0.2,3
120,0.09791,0.796167,0.890118,0.440536,1.92,1.06,0.2,0.2,3
120,0.095205,0.793017,0.88811,0.456594,1.84,1.01,0.2,0.2,3
120,0.100711,0.792722,0.887863,0.475361,1.91,1.05,0.2,0.2,3
120,0.102508,0.794214,0.888879,0.451827,1.95,1.06,0.2,0.2,3

140,0.096722,0.789645,0.886143,0.462866,1.91,1.06,0.2,0.2,3
140,0.093408,0.786859,0.884045,0.46653,1.98,1.09,0.2,0.2,3
140,0.098521,0.789196,0.885833,0.466028,1.93,1.06,0.2,0.2,3
140,0.106393,0.785994,0.883615,0.483842,1.26,1.23,0.2,0.2,3
140,0.107349,0.786931,0.884003,0.467132,1.29,1.27,0.2,0.2,3
140,0.094323,0.786913,0.884332,0.44726,1.92,1.07,0.2,0.2,3
140,0.099149,0.787888,0.884914,0.449217,1.97,1.09,0.2,0.2,3
140,0.095623,0.786427,0.884053,0.481935,1.97,1.08,0.2,0.2,3
140,0.09827,0.788376,0.885183,0.484795,1.97,1.09,0.2,0.2,3
140,0.092291,0.791263,0.887129,0.442342,2.02,1.1,0.2,0.2,3

160,0.094982,0.78235,0.881277,0.479326,2.01,1.12,0.2,0.2,3
160,0.096232,0.781574,0.881124,0.498344,2.08,1.15,0.2,0.2,3
160,0.096435,0.781499,0.881035,0.49433,2.04,1.12,0.2,0.2,3
160,0.099897,0.783082,0.882029,0.481634,2.25,1.13,0.2,0.2,3
160,0.093389,0.78304,0.882065,0.474107,2.03,1.15,0.2,0.2,3
160,0.088267,0.782421,0.881626,0.468537,2.01,1.13,0.2,0.2,3
160,0.088522,0.783607,0.882386,0.476365,2.08,1.16,0.2,0.2,3
160,0.085077,0.782032,0.881397,0.476666,2.04,1.14,0.2,0.2,3
160,0.100847,0.782322,0.881452,0.495132,2.09,1.18,0.2,0.2,3
160,0.096958,0.783064,0.882193,0.48344,2.04,1.14,0.2,0.2,3

180,0.090264,0.776063,0.87782,0.494681,2.14,1.19,0.2,0.2,3
180,0.083843,0.776632,0.878006,0.484293,2.1,1.17,0.2,0.2,3
180,0.090105,0.776941,0.878249,0.48901,2.14,1.23,0.2,0.2,3
180,0.085004,0.775876,0.877403,0.484444,1.62,1.6,0.2,0.2,3
180,0.088081,0.777211,0.87815,0.485548,1.54,1.54,0.2,0.2,3
180,0.093263,0.776517,0.877818,0.505721,1.52,1.51,0.2,0.2,3
180,0.082554,0.776754,0.87801,0.48881,1.51,1.5,0.2,0.2,3
180,0.092374,0.778708,0.879279,0.503663,1.52,1.52,0.2,0.2,3
180,0.098116,0.777058,0.87814,0.511592,1.63,1.63,0.2,0.2,3
180,0.081398,0.776643,0.877993,0.498444,1.6,1.59,0.2,0.2,3
180,0.092228,0.776814,0.878189,0.506523,1.61,1.6,0.2,0.2,3
180,0.077588,0.778899,0.879583,0.48876,1.64,1.63,0.2,0.2,3

200,0.086034,0.771139,0.874583,0.512244,1.67,1.66,0.2,0.2,3
200,0.076948,0.772196,0.875215,0.490064,1.68,1.68,0.2,0.2,3
200,0.08051,0.771699,0.875035,0.507979,1.67,1.66,0.2,0.2,3
200,0.082976,0.771819,0.874904,0.507427,1.74,1.72,0.2,0.2,3
200,0.085618,0.77155,0.874579,0.5139,1.76,1.73,0.2,0.2,3
200,0.085212,0.77203,0.875097,0.515205,1.85,1.83,0.2,0.2,3
200,0.087513,0.770383,0.873928,0.51109,1.85,1.84,0.2,0.2,3
200,0.084512,0.770475,0.874186,0.506774,1.87,1.87,0.2,0.2,3
200,0.087491,0.771471,0.874828,0.518667,1.88,1.86,0.2,0.2,3
200,0.086293,0.772172,0.875202,0.520373,1.94,1.94,0.2,0.2,3
200,0.08177,0.775979,0.877746,0.492774,1.98,1.95,0.2,0.2,3
200,0.080469,0.772164,0.874982,0.493075,2,2,0.2,0.2,3
200,0.091004,0.77229,0.875376,0.519872,2.13,2.11,0.2,0.2,3
200,0.088806,0.773273,0.875928,0.513398,2.31,2.28,0.2,0.2,3
200,0.083822,0.772869,0.875732,0.493527,2.37,2.36,0.2,0.2,3
