Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
100,0.802517,0.893721,1.10,1.08,100,10,10,0.20,0.20,3,0.68,0.66,0.04,0.04,1.10,1.08
100,0.803980,0.894564,1.80,0.97,100,10,9,0.20,0.20,3,1.20,0.62,0.07,0.04,1.86,1.01
100,0.800683,0.892750,1.82,0.98,100,10,10,0.20,0.20,3,1.13,0.58,0.07,0.04,1.82,0.98

120,0.792769,0.887966,1.24,1.22,120,10,10,0.20,0.20,3,0.78,0.77,0.05,0.04,1.24,1.22
120,0.794485,0.888673,1.18,1.18,120,10,10,0.20,0.20,3,0.73,0.72,0.05,0.05,1.19,1.18
120,0.793977,0.888728,1.19,1.18,120,10,10,0.20,0.20,3,0.74,0.73,0.04,0.04,1.19,1.18
120,0.793263,0.888482,1.19,1.18,120,10,10,0.20,0.20,3,0.74,0.74,0.04,0.04,1.19,1.18
120,0.793920,0.888482,1.89,1.04,120,10,10,0.20,0.20,3,1.20,0.64,0.07,0.04,1.89,1.04
120,0.792916,0.887974,1.84,1.01,120,10,10,0.20,0.20,3,1.18,0.62,0.07,0.04,1.84,1.01
120,0.794443,0.888787,1.84,1.02,120,10,10,0.20,0.20,3,1.16,0.62,0.07,0.04,1.84,1.02
120,0.794883,0.888996,1.75,0.95,120,10,8,0.20,0.20,3,1.21,0.63,0.07,0.04,1.88,1.02
120,0.794502,0.889091,1.82,1.00,120,10,9,0.20,0.20,3,1.20,0.64,0.07,0.04,1.89,1.05
120,0.795032,0.889332,1.88,1.04,120,10,10,0.20,0.20,3,1.20,0.64,0.07,0.04,1.88,1.04
120,0.795060,0.889271,2.26,1.01,120,10,10,0.20,0.20,3,1.59,0.62,0.07,0.04,2.26,1.01
120,0.795336,0.889388,1.78,0.97,120,10,9,0.20,0.20,3,1.18,0.63,0.07,0.04,1.84,1.01
120,0.794961,0.889371,1.86,1.02,120,10,10,0.20,0.20,3,1.16,0.62,0.07,0.04,1.86,1.02
120,0.796167,0.890118,1.92,1.06,120,10,10,0.20,0.20,3,1.23,0.66,0.07,0.04,1.92,1.06
120,0.793017,0.888110,1.84,1.01,120,10,10,0.20,0.20,3,1.18,0.62,0.07,0.04,1.84,1.01
120,0.792722,0.887863,1.91,1.05,120,10,10,0.20,0.20,3,1.22,0.64,0.07,0.04,1.91,1.05
120,0.794214,0.888879,1.95,1.06,120,10,10,0.20,0.20,3,1.25,0.67,0.07,0.04,1.95,1.06

140,0.789645,0.886143,1.91,1.06,140,10,10,0.20,0.20,3,1.24,0.67,0.07,0.04,1.91,1.06
140,0.786859,0.884045,1.98,1.09,140,10,10,0.20,0.20,3,1.26,0.68,0.07,0.04,1.98,1.09
140,0.789196,0.885833,1.93,1.06,140,10,10,0.20,0.20,3,1.27,0.68,0.07,0.04,1.93,1.06
140,0.785994,0.883615,1.26,1.23,140,10,10,0.20,0.20,3,0.78,0.76,0.05,0.05,1.26,1.23
140,0.786931,0.884003,1.29,1.27,140,10,10,0.20,0.20,3,0.81,0.80,0.05,0.05,1.29,1.27
140,0.786913,0.884332,1.92,1.07,140,10,10,0.20,0.20,3,1.23,0.67,0.07,0.04,1.92,1.07
140,0.787888,0.884914,1.97,1.09,140,10,10,0.20,0.20,3,1.27,0.68,0.07,0.04,1.97,1.09
140,0.786427,0.884053,1.97,1.08,140,10,10,0.20,0.20,3,1.27,0.67,0.07,0.04,1.97,1.08
140,0.788376,0.885183,1.97,1.09,140,10,10,0.20,0.20,3,1.26,0.69,0.07,0.04,1.97,1.09
140,0.791263,0.887129,2.02,1.10,140,10,10,0.20,0.20,3,1.31,0.69,0.07,0.04,2.02,1.10

160,0.782350,0.881277,2.01,1.12,160,10,10,0.20,0.20,3,1.33,0.72,0.07,0.04,2.01,1.12
160,0.781574,0.881124,2.08,1.15,160,10,10,0.20,0.20,3,1.38,0.75,0.07,0.04,2.08,1.15
160,0.781499,0.881035,2.04,1.12,160,10,10,0.20,0.20,3,1.33,0.71,0.07,0.04,2.04,1.12
160,0.783082,0.882029,2.25,1.13,160,10,10,0.20,0.20,3,1.53,0.71,0.07,0.04,2.25,1.13
160,0.783040,0.882065,2.03,1.15,160,10,10,0.20,0.20,3,1.32,0.74,0.07,0.04,2.03,1.15
160,0.782421,0.881626,2.01,1.13,160,10,10,0.20,0.20,3,1.32,0.73,0.07,0.04,2.01,1.13
160,0.783607,0.882386,2.08,1.16,160,10,10,0.20,0.20,3,1.36,0.75,0.07,0.04,2.08,1.16
160,0.782032,0.881397,2.04,1.14,160,10,10,0.20,0.20,3,1.35,0.75,0.07,0.04,2.04,1.14
160,0.782322,0.881452,2.09,1.18,160,10,10,0.20,0.20,3,1.36,0.76,0.07,0.04,2.09,1.18
160,0.783064,0.882193,2.04,1.14,160,10,10,0.20,0.20,3,1.35,0.74,0.07,0.04,2.04,1.14

180,0.776063,0.877820,2.14,1.19,180,10,10,0.20,0.20,3,1.42,0.77,0.07,0.04,2.14,1.19
180,0.776632,0.878006,2.10,1.17,180,10,10,0.20,0.20,3,1.40,0.77,0.07,0.04,2.10,1.17
180,0.776941,0.878249,2.14,1.23,180,10,10,0.20,0.20,3,1.44,0.82,0.07,0.04,2.14,1.23
180,0.775876,0.877403,1.62,1.60,180,10,10,0.20,0.20,3,1.06,1.04,0.06,0.06,1.63,1.60
180,0.777211,0.878150,1.54,1.54,180,10,10,0.20,0.20,3,1.01,1.01,0.05,0.05,1.54,1.54
180,0.776517,0.877818,1.52,1.51,180,10,10,0.20,0.20,3,1.00,0.99,0.05,0.05,1.52,1.51
180,0.776754,0.878010,1.51,1.50,180,10,10,0.20,0.20,3,1.02,1.01,0.05,0.05,1.51,1.50
180,0.778708,0.879279,1.52,1.52,180,10,10,0.20,0.20,3,1.01,1.01,0.05,0.05,1.52,1.52
180,0.777058,0.878140,1.63,1.63,180,10,10,0.20,0.20,3,1.08,1.08,0.05,0.05,1.63,1.63
180,0.776643,0.877993,1.60,1.59,180,10,10,0.20,0.20,3,1.07,1.06,0.05,0.05,1.60,1.59
180,0.776814,0.878189,1.61,1.60,180,10,10,0.20,0.20,3,1.08,1.07,0.05,0.05,1.61,1.60
180,0.778899,0.879583,1.64,1.63,180,10,10,0.20,0.20,3,1.12,1.10,0.05,0.05,1.64,1.63

200,0.771139,0.874583,1.67,1.66,200,10,10,0.20,0.20,3,1.13,1.12,0.05,0.05,1.67,1.66
200,0.772196,0.875215,1.68,1.68,200,10,10,0.20,0.20,3,1.13,1.12,0.05,0.06,1.68,1.68
200,0.771699,0.875035,1.67,1.66,200,10,10,0.20,0.20,3,1.13,1.12,0.05,0.05,1.67,1.66
