Random
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
300,0.068565,0.75087,0.861771,0.539442,3.08,1.84,0.2,0.2,3

400,0.054591,0.733148,0.850033,0.565536,3.66,2.3,0.2,0.2,3
400,0.054288,0.733666,0.850538,0.560568,3.47,2.18,0.2,0.2,3
400,0.05438,0.732637,0.84978,0.559765,3.64,2.27,0.2,0.2,3
400,0.05615,0.732679,0.849761,0.559464,3.96,2.52,0.2,0.2,3
400,0.055201,0.734238,0.850725,0.557005,3.79,2.37,0.2,0.2,3
400,0.056878,0.733645,0.8503,0.564482,4,2.52,0.2,0.2,3
400,0.058221,0.732157,0.849079,0.573414,3.74,2.38,0.2,0.2,3
400,0.057084,0.732685,0.849848,0.572411,3.84,2.42,0.2,0.2,3
400,0.061453,0.734165,0.850711,0.566439,4.29,2.6,0.2,0.2,3
400,0.054205,0.731453,0.848756,0.56388,4.03,2.52,0.2,0.2,3
400,0.053935,0.733181,0.849831,0.562375,4.01,2.55,0.2,0.2,3
400,0.057423,0.733602,0.849943,0.5695,4.33,2.74,0.2,0.2,3

500,0.04603,0.719792,0.840909,0.571407,4.72,3.07,0.2,0.2,3
500,0.048671,0.718552,0.839907,0.578583,4.76,3.1,0.2,0.2,3
500,0.046313,0.717413,0.839332,0.57497,4.94,3.21,0.2,0.2,3
500,0.048494,0.718056,0.839704,0.578131,5.04,3.27,0.2,0.2,3
500,0.050604,0.71946,0.84071,0.583601,5.23,3.35,0.2,0.2,3
500,0.050677,0.718605,0.840166,0.58892,5.17,3.4,0.2,0.2,3
500,0.047379,0.718353,0.839803,0.574067,5.39,3.55,0.2,0.2,3
500,0.050611,0.718623,0.840232,0.576174,5.62,3.67,0.2,0.2,3
