#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
3388,31.58,0.458258,0.746057,3400,0.545946,0.319997,8,4,-1.00,50,10,4,1,50,0.9,0.8,0.3,0.3,113906,8594,3570,1.52,7.69,22.37,2.01
2391,24.51,0.466133,0.764773,2397,0.556792,0.332315,8,4,-1.00,50,10,4,1,80,0.9,0.8,0.3,0.3,113906,5813,2523,1.49,7.69,15.33,2.35
2098,22.20,0.469592,0.771285,2099,0.561180,0.336931,8,4,-1.00,50,10,6,1,30,0.9,0.8,0.3,0.3,113906,4598,2188,1.52,7.23,13.45,2.08
1917,20.96,0.470872,0.777972,1919,0.564609,0.340944,8,4,-1.00,50,10,6,1,50,0.9,0.8,0.3,0.3,113906,4275,1997,1.53,7.36,12.07,2.31
1440,17.83,0.481497,0.798150,1441,0.553232,0.325248,8,4,-1.00,50,10,6,1,80,0.9,0.8,0.3,0.3,113906,2990,1502,1.50,7.26,9.07,2.39
4478,42.59,0.457815,0.728385,4495,0.545176,0.320252,8,4,-1.00,50,12,4,1,30,0.9,0.8,0.3,0.3,113906,11779,4754,1.52,9.09,31.98,2.11
3785,36.69,0.457093,0.732683,3796,0.553177,0.329495,8,4,-1.00,50,12,4,1,50,0.9,0.8,0.3,0.3,113906,10327,4019,1.50,10.20,24.99,2.53
2674,27.33,0.465113,0.754009,2683,0.552789,0.327621,8,4,-1.00,50,12,4,1,80,0.9,0.8,0.3,0.3,113906,6969,2847,1.51,8.94,16.88,2.73
2377,25.40,0.468658,0.763200,2384,0.556362,0.331336,8,4,-1.00,50,12,6,1,30,0.9,0.8,0.3,0.3,113906,5488,2494,1.53,8.47,15.40,2.27
2172,22.61,0.469318,0.769390,2179,0.559826,0.335413,8,4,-1.00,50,12,6,1,50,0.9,0.8,0.3,0.3,113906,5097,2275,1.52,7.20,13.89,2.28
1649,20.29,0.480348,0.788486,1652,0.550257,0.322054,8,4,-1.00,50,12,6,1,80,0.9,0.8,0.3,0.3,113906,3570,1725,1.48,8.48,10.33,2.03
15707,162.24,0.439188,0.648305,15869,0.523449,0.299022,16,4,-1.00,30,8,4,1,30,0.9,0.8,0.3,0.3,380148,35634,17292,2.30,15.67,144.27,2.08
11306,120.89,0.450386,0.664809,11420,0.527348,0.302273,16,4,-1.00,30,8,4,1,50,0.9,0.8,0.3,0.3,380148,23687,12503,2.30,22.00,96.59,2.02
8449,92.86,0.459776,0.681139,8520,0.529331,0.303402,16,4,-1.00,30,8,4,1,80,0.9,0.8,0.3,0.3,380148,16813,9298,2.27,21.90,68.69,2.00
10158,106.94,0.455311,0.673634,10249,0.528445,0.302749,16,4,-1.00,30,8,6,1,30,0.9,0.8,0.3,0.3,380148,19724,10938,2.27,21.69,82.98,2.29
7913,86.53,0.468819,0.690390,7983,0.532783,0.306895,16,4,-1.00,30,8,6,1,50,0.9,0.8,0.3,0.3,380148,13755,8559,2.29,21.43,62.81,1.99
6295,73.29,0.477345,0.706623,6337,0.534705,0.308386,16,4,-1.00,30,8,6,1,80,0.9,0.8,0.3,0.3,380148,10263,6779,2.31,22.12,48.86,2.44
17615,188.18,0.439728,0.642664,17785,0.520514,0.295952,16,4,-1.00,30,10,4,1,30,0.9,0.8,0.3,0.3,380148,44586,19543,2.30,19.31,166.57,2.52
12887,142.05,0.451188,0.659489,13008,0.524959,0.299877,16,4,-1.00,30,10,4,1,50,0.9,0.8,0.3,0.3,380148,29710,14384,2.27,25.20,114.58,3.22
9717,105.32,0.461153,0.675330,9801,0.528245,0.302602,16,4,-1.00,30,10,4,1,80,0.9,0.8,0.3,0.3,380148,21105,10785,2.29,22.86,80.17,2.55
11648,116.54,0.455798,0.668185,11774,0.526162,0.300596,16,4,-1.00,30,10,6,1,30,0.9,0.8,0.3,0.3,380148,24697,12648,2.30,15.50,98.74,2.19
9232,102.73,0.469526,0.684790,9328,0.531239,0.305645,16,4,-1.00,30,10,6,1,50,0.9,0.8,0.3,0.3,380148,17249,10081,2.32,25.01,75.40,2.80
7437,84.65,0.477789,0.698668,7498,0.534440,0.308736,16,4,-1.00,30,10,6,1,80,0.9,0.8,0.3,0.3,380148,12851,8051,2.28,25.05,57.32,2.01
19775,223.08,0.438506,0.636090,20025,0.516789,0.291941,16,4,-1.00,30,12,4,1,30,0.9,0.8,0.3,0.3,380148,53586,22233,2.30,25.98,194.80,2.05
14600,165.51,0.450327,0.652067,14790,0.521875,0.296658,16,4,-1.00,30,12,4,1,50,0.9,0.8,0.3,0.3,380148,35742,16541,2.28,26.00,137.23,2.54
11108,123.56,0.460291,0.668175,11230,0.526188,0.300687,16,4,-1.00,30,12,4,1,80,0.9,0.8,0.3,0.3,380148,25394,12497,2.28,25.56,95.72,2.15
13252,148.09,0.455442,0.661942,13397,0.524112,0.298651,16,4,-1.00,30,12,6,1,30,0.9,0.8,0.3,0.3,380148,29664,14529,2.29,28.41,117.39,2.02
10614,120.76,0.468838,0.677216,10743,0.529532,0.304168,16,4,-1.00,30,12,6,1,50,0.9,0.8,0.3,0.3,380148,20693,11694,2.29,28.61,89.86,2.46
8579,99.82,0.477485,0.691546,8679,0.528534,0.301999,16,4,-1.00,30,12,6,1,80,0.9,0.8,0.3,0.3,380148,15431,9400,2.28,28.36,69.18,2.31
12824,128.35,0.436537,0.660015,12926,0.527244,0.302931,16,4,-1.00,40,8,4,1,30,0.9,0.8,0.3,0.3,284635,29576,14075,2.28,14.91,111.16,2.60
9599,95.83,0.441781,0.670614,9668,0.531997,0.307523,16,4,-1.00,40,8,4,1,50,0.9,0.8,0.3,0.3,284635,21740,10577,2.29,14.94,78.60,2.39
7132,72.71,0.451656,0.686517,7188,0.538852,0.314686,16,4,-1.00,40,8,4,1,80,0.9,0.8,0.3,0.3,284635,15318,7854,2.32,14.70,55.69,2.66
7459,79.67,0.452024,0.687755,7500,0.538057,0.313465,16,4,-1.00,40,8,6,1,30,0.9,0.8,0.3,0.3,284635,14976,8008,2.30,20.15,57.22,2.11
6053,68.64,0.458192,0.699297,6088,0.539342,0.314211,16,4,-1.00,40,8,6,1,50,0.9,0.8,0.3,0.3,284635,11679,6518,2.29,19.76,46.59,2.03
4827,58.62,0.469563,0.715690,4867,0.538692,0.312402,16,4,-1.00,40,8,6,1,80,0.9,0.8,0.3,0.3,284635,8657,5215,2.30,20.00,36.32,2.47
14282,144.80,0.436651,0.653280,14418,0.524993,0.300723,16,4,-1.00,40,10,4,1,30,0.9,0.8,0.3,0.3,284635,37026,15796,2.28,14.54,127.98,2.26
10812,107.85,0.441936,0.664014,10897,0.530740,0.306467,16,4,-1.00,40,10,4,1,50,0.9,0.8,0.3,0.3,284635,27295,11993,2.29,14.61,90.95,2.22
8088,87.03,0.452536,0.680331,8164,0.532316,0.307078,16,4,-1.00,40,10,4,1,80,0.9,0.8,0.3,0.3,284635,19240,8987,2.29,18.13,66.61,2.09
8501,93.40,0.451144,0.680799,8563,0.531177,0.305584,16,4,-1.00,40,10,6,1,30,0.9,0.8,0.3,0.3,284635,18760,9181,2.28,22.70,68.42,2.02
6962,79.52,0.458367,0.689777,7018,0.535976,0.310652,16,4,-1.00,40,10,6,1,50,0.9,0.8,0.3,0.3,284635,14660,7539,2.28,22.88,54.36,2.78
5633,68.68,0.469930,0.706152,5674,0.540877,0.315782,16,4,-1.00,40,10,6,1,80,0.9,0.8,0.3,0.3,284635,10850,6104,2.28,22.90,43.50,2.04
16064,178.43,0.435605,0.644391,16220,0.522348,0.297936,16,4,-1.00,40,12,4,1,30,0.9,0.8,0.3,0.3,284635,44494,17939,2.27,26.38,149.78,2.50
12165,126.90,0.441804,0.656874,12292,0.528900,0.304682,16,4,-1.00,40,12,4,1,50,0.9,0.8,0.3,0.3,284635,32837,13680,2.30,17.16,107.44,2.17
9205,105.77,0.452175,0.671039,9293,0.531967,0.307147,16,4,-1.00,40,12,4,1,80,0.9,0.8,0.3,0.3,284635,23132,10325,2.27,26.34,77.16,2.02
