Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
9987,0.013441,0.095000,1351.87,4108.25,10000,10,10,0.50,0.30,1,593.66,3357.24,75.82,75.10,1351.87,4108.25

K-Means||
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.027968,0.145648,87.00,90.60,1000,10,10,0.50,0.30,2,41.57,43.22,4.54,4.74,87.01,90.60
1999,0.022536,0.127863,207.86,220.26,2000,10,10,0.50,0.30,2,124.35,135.01,8.35,8.53,207.86,220.26
2998,0.019789,0.118644,376.32,410.50,3000,10,10,0.50,0.30,2,247.20,279.90,12.91,13.06,376.32,410.50
3998,0.017920,0.111929,569.21,626.79,4000,10,10,0.50,0.30,2,391.05,447.24,17.82,17.95,569.21,626.79
4999,0.016771,0.107724,771.28,842.87,5000,10,10,0.50,0.30,2,538.74,611.57,23.25,23.13,771.28,842.87
5998,0.015767,0.103950,958.40,1058.44,6000,10,10,0.50,0.30,2,672.54,774.14,28.59,28.43,958.40,1058.44
7000,0.014959,0.100675,1183.35,1363.19,7000,10,10,0.50,0.30,2,834.87,1016.69,34.85,34.65,1183.35,1363.19
7997,0.014244,0.097996,1307.49,1528.23,8000,10,10,0.50,0.30,2,881.17,1103.69,42.63,42.45,1307.49,1528.23
8996,0.013622,0.095508,1659.81,1914.44,9000,10,10,0.50,0.30,2,1064.55,1324.48,59.53,59.00,1659.82,1914.44
9997,0.013116,0.093433,2014.89,2310.84,10000,10,10,0.50,0.30,2,1227.33,1528.35,78.76,78.25,2014.89,2310.84

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.028143,0.144129,67.71,73.11,1000,10,10,0.50,0.30,3,25.29,28.24,4.24,4.49,67.71,73.12
2000,0.023051,0.127456,109.31,119.54,2000,10,9,0.50,0.30,3,39.32,47.90,7.81,8.00,117.46,127.87
3000,0.020132,0.117992,193.27,211.27,3000,10,10,0.50,0.30,3,72.19,88.60,12.11,12.27,193.27,211.27
4000,0.018490,0.112119,255.97,281.29,4000,10,10,0.50,0.30,3,83.53,107.24,17.24,17.41,255.97,281.29
5000,0.017290,0.107128,344.49,376.67,5000,10,10,0.50,0.30,3,119.31,153.01,22.52,22.37,344.49,376.67
6000,0.016273,0.103245,425.94,480.34,6000,10,10,0.50,0.30,3,150.96,207.56,27.50,27.28,425.94,480.34
7000,0.015444,0.100322,525.71,582.98,7000,10,10,0.50,0.30,3,197.18,256.93,32.85,32.61,525.71,582.98
8000,0.014715,0.097579,678.48,760.47,8000,10,10,0.50,0.30,3,258.25,342.83,42.02,41.76,678.48,760.47
9000,0.014118,0.095448,915.82,1019.32,9000,10,10,0.50,0.30,3,316.09,425.30,59.97,59.40,915.82,1019.32
10000,0.013715,0.093640,1100.10,1205.73,10000,10,10,0.50,0.30,3,318.05,430.34,78.20,77.54,1100.10,1205.73


SILK (old, for sigmod 2023 submission)
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.028111,0.143804,84.15,89.41,1000,10,10,0.50,0.30,3,41.88,45.10,4.23,4.43,84.15,89.41
2000,0.022828,0.126578,162.71,174.78,2000,10,10,0.50,0.30,3,84.60,94.84,7.81,7.99,162.71,174.78
3000,0.020136,0.116725,237.79,259.55,3000,10,10,0.50,0.30,3,119.02,139.15,11.88,12.04,237.79,259.55
4000,0.018269,0.111433,320.52,350.94,4000,10,10,0.50,0.30,3,149.31,178.17,17.12,17.28,320.52,350.94
5000,0.017106,0.106079,410.68,450.76,5000,10,10,0.50,0.30,3,185.27,227.36,22.54,22.34,410.68,450.76
6000,0.016106,0.101837,506.27,568.73,6000,10,10,0.50,0.30,3,242.70,307.91,26.36,26.08,506.27,568.73
7000,0.015372,0.098862,596.22,665.23,7000,10,10,0.50,0.30,3,274.54,346.25,32.17,31.90,596.22,665.23
8000,0.014612,0.097304,707.53,790.23,8000,10,10,0.50,0.30,3,288.31,373.40,41.92,41.68,707.53,790.24
8999,0.014126,0.095358,916.92,1012.59,9000,10,10,0.50,0.30,3,323.65,424.24,59.33,58.84,916.92,1012.59
10000,0.013777,0.092093,1167.49,1275.68,10000,10,10,0.50,0.30,3,373.42,488.75,79.41,78.69,1167.49,1275.68

1000,0.028138,0.144265,80.99,85.79,1000,10,10,0.50,0.30,3,38.73,41.36,4.23,4.44,80.99,85.79
1000,0.028271,0.144222,80.86,86.26,1000,10,10,0.50,0.30,3,38.74,42.00,4.21,4.43,80.86,86.26
1000,0.028416,0.144316,81.48,86.91,1000,10,10,0.50,0.30,3,39.18,42.44,4.23,4.45,81.48,86.91
1000,0.028289,0.144137,83.20,88.64,1000,10,10,0.50,0.30,3,41.28,44.50,4.19,4.41,83.20,88.64
1000,0.028199,0.144149,83.49,88.98,1000,10,10,0.50,0.30,3,41.26,44.60,4.22,4.44,83.49,88.98
1000,0.028111,0.143804,84.15,89.41,1000,10,10,0.50,0.30,3,41.88,45.10,4.23,4.43,84.15,89.41
1000,0.028434,0.145469,81.66,87.73,1000,10,10,0.50,0.30,3,39.64,43.56,4.20,4.42,81.67,87.73
1000,0.028099,0.144919,85.76,91.38,1000,10,10,0.50,0.30,3,42.64,46.10,4.31,4.53,85.76,91.38

2000,0.022871,0.126400,161.36,173.26,2000,10,10,0.50,0.30,3,83.60,93.73,7.78,7.95,161.37,173.26
2000,0.022828,0.126578,162.71,174.78,2000,10,10,0.50,0.30,3,84.60,94.84,7.81,7.99,162.71,174.78
2000,0.023030,0.127107,162.56,174.58,2000,10,10,0.50,0.30,3,84.41,94.60,7.82,8.00,162.56,174.59
2000,0.023020,0.127364,163.68,176.21,2000,10,10,0.50,0.30,3,85.15,95.87,7.85,8.03,163.68,176.21
2000,0.022844,0.127669,164.77,177.33,2000,10,10,0.50,0.30,3,84.50,95.17,8.03,8.22,164.77,177.33
2000,0.022909,0.128320,162.85,175.63,2000,10,10,0.50,0.30,3,82.77,93.70,8.01,8.19,162.85,175.63

3000,0.020374,0.117350,243.17,263.20,3000,10,10,0.50,0.30,3,123.42,141.84,11.97,12.14,243.17,263.20
3000,0.020303,0.117122,237.38,257.46,3000,10,10,0.50,0.30,3,117.28,135.69,12.01,12.18,237.38,257.46
3000,0.020189,0.116870,238.38,258.67,3000,10,10,0.50,0.30,3,118.13,136.81,12.02,12.19,238.38,258.67
3000,0.020136,0.116725,237.79,259.55,3000,10,10,0.50,0.30,3,119.02,139.15,11.88,12.04,237.79,259.55
3000,0.020296,0.117544,237.94,258.21,3000,10,10,0.50,0.30,3,117.92,136.64,12.00,12.16,237.94,258.21
3000,0.020133,0.118486,241.30,263.47,3000,10,10,0.50,0.30,3,120.10,140.64,12.12,12.28,241.30,263.47
3000,0.020309,0.118026,241.10,263.07,3000,10,10,0.50,0.30,3,120.30,140.72,12.08,12.23,241.10,263.07

4000,0.018306,0.111556,321.26,352.73,4000,10,10,0.50,0.30,3,148.81,178.73,17.25,17.40,321.26,352.73
4000,0.018269,0.111433,320.52,350.94,4000,10,10,0.50,0.30,3,149.31,178.17,17.12,17.28,320.52,350.94
4000,0.018317,0.111633,323.72,354.30,4000,10,10,0.50,0.30,3,150.41,179.38,17.33,17.49,323.72,354.30
4000,0.018346,0.112081,322.30,354.91,4000,10,10,0.50,0.30,3,148.82,179.86,17.35,17.51,322.30,354.92
4000,0.018474,0.112603,324.72,357.84,4000,10,10,0.50,0.30,3,149.07,180.61,17.56,17.72,324.72,357.84
4000,0.018474,0.112603,324.73,358.23,4000,10,10,0.50,0.30,3,149.02,180.84,17.57,17.74,324.73,358.23

5000,0.017160,0.106246,411.15,452.02,5000,10,10,0.50,0.30,3,185.82,227.90,22.53,22.41,411.15,452.02
5000,0.017106,0.106079,410.68,450.76,5000,10,10,0.50,0.30,3,185.27,227.36,22.54,22.34,410.68,450.76
5000,0.017054,0.107106,406.96,447.03,5000,10,10,0.50,0.30,3,181.94,223.95,22.50,22.31,406.97,447.03
5000,0.017059,0.107106,408.23,449.30,5000,10,10,0.50,0.30,3,182.94,225.36,22.53,22.39,408.23,449.30
5000,0.017065,0.107321,412.79,453.49,5000,10,10,0.50,0.30,3,184.69,227.87,22.81,22.56,412.79,453.49

6000,0.016132,0.102206,496.80,548.24,6000,10,10,0.50,0.30,3,229.71,284.34,26.71,26.39,496.80,548.24
6000,0.016021,0.102885,491.67,542.66,6000,10,10,0.50,0.30,3,222.61,277.12,26.91,26.55,491.67,542.66
6000,0.016106,0.101837,506.27,568.73,6000,10,10,0.50,0.30,3,242.70,307.91,26.36,26.08,506.27,568.73
6000,0.016191,0.102462,506.80,560.16,6000,10,10,0.50,0.30,3,238.43,295.05,26.84,26.51,506.80,560.16
6000,0.016097,0.103280,497.12,551.12,6000,10,10,0.50,0.30,3,227.76,285.68,26.94,26.54,497.12,551.12

7000,0.015422,0.099376,581.56,646.57,7000,10,10,0.50,0.30,3,259.59,327.88,32.20,31.87,581.56,646.57
7000,0.015372,0.098862,596.22,665.23,7000,10,10,0.50,0.30,3,274.54,346.25,32.17,31.90,596.22,665.23
7000,0.015253,0.100082,586.73,655.41,7000,10,10,0.50,0.30,3,257.65,329.03,32.91,32.64,586.73,655.41
7000,0.015319,0.100367,591.07,659.68,7000,10,10,0.50,0.30,3,262.63,334.55,32.84,32.51,591.07,659.68

8000,0.014866,0.096403,724.21,827.52,8000,10,10,0.50,0.30,3,301.21,406.81,42.30,42.07,724.21,827.52
8000,0.014738,0.096504,723.43,805.78,8000,10,10,0.50,0.30,3,301.02,385.50,42.24,42.03,723.43,805.78
8000,0.014802,0.096505,728.46,810.93,8000,10,10,0.50,0.30,3,302.39,387.39,42.61,42.36,728.46,810.94
8000,0.014612,0.097304,707.53,790.23,8000,10,10,0.50,0.30,3,288.31,373.40,41.92,41.68,707.53,790.24

9000,0.014338,0.094282,927.94,1018.40,9000,10,10,0.50,0.30,3,330.49,426.54,59.75,59.19,927.94,1018.40
9000,0.014242,0.094264,933.26,1026.65,9000,10,10,0.50,0.30,3,326.53,425.56,60.67,60.11,933.26,1026.65
9000,0.014233,0.094189,935.97,1030.61,9000,10,10,0.50,0.30,3,334.90,435.00,60.11,59.56,935.97,1030.61
8999,0.014126,0.095358,916.92,1012.59,9000,10,10,0.50,0.30,3,323.65,424.24,59.33,58.84,916.92,1012.59
9000,0.014118,0.095448,912.77,1008.42,9000,10,10,0.50,0.30,3,315.97,416.97,59.68,59.14,912.77,1008.42

10000,0.013819,0.092256,1157.70,1265.66,10000,10,10,0.50,0.30,3,363.34,477.77,79.44,78.79,1157.70,1265.67
10000,0.013777,0.092093,1167.49,1275.68,10000,10,10,0.50,0.30,3,373.42,488.75,79.41,78.69,1167.49,1275.68
10000,0.013802,0.092295,1156.22,1274.46,10000,10,10,0.50,0.30,3,369.57,494.07,78.67,78.04,1156.22,1274.46
10000,0.013648,0.093321,1129.19,1260.15,10000,10,10,0.50,0.30,3,353.05,490.31,77.61,76.98,1129.19,1260.15
