Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
2000,0.324622,0.546147,768.69,714.23,2000,10,7,0.30,0.40,3,267.34,256.45,71.53,65.22,982.60,908.63
2000,0.324979,0.545388,834.20,770.27,2000,10,8,0.30,0.40,3,260.20,248.28,71.74,65.21,977.62,900.39
2000,0.324373,0.545412,722.90,670.75,2000,10,6,0.30,0.40,3,293.51,280.09,71.48,65.02,1008.34,930.32
2000,0.323564,0.544070,785.61,729.36,2000,10,7,0.30,0.40,3,284.44,272.65,71.55,65.18,999.98,924.43
2000,0.324830,0.545745,541.53,507.46,2000,10,4,0.30,0.40,3,256.46,246.40,71.02,64.84,966.65,894.79
2000,0.324057,0.545237,932.53,864.63,2000,10,9,0.30,0.40,3,289.72,277.89,71.41,65.14,1003.85,929.25
2000,0.326296,0.547940,800.65,741.59,2000,10,8,0.30,0.40,3,228.64,219.21,71.46,65.21,943.26,871.35
2000,0.323961,0.544734,699.77,649.06,2000,10,6,0.30,0.40,3,270.54,258.44,71.48,65.22,985.37,910.66
2000,0.324248,0.544999,840.85,780.52,2000,10,8,0.30,0.40,3,271.82,261.24,71.05,64.87,982.31,909.93
2000,0.324580,0.545092,807.73,754.46,2000,10,7,0.30,0.40,3,306.44,295.20,71.56,65.56,1022.05,950.81
2000,0.323315,0.544039,781.16,726.68,2000,10,7,0.30,0.40,3,279.62,268.85,71.58,65.35,995.46,922.34
2000,0.323780,0.544044,744.48,694.95,2000,10,6,0.30,0.40,3,313.58,300.25,71.71,65.67,1030.69,957.00
1999,0.323967,0.544989,752.84,701.21,2000,10,6,0.30,0.40,3,321.15,307.85,71.88,65.57,1039.94,963.54
2000,0.322967,0.543435,858.47,795.21,2000,10,8,0.30,0.40,3,286.87,273.36,71.42,65.22,1001.03,925.51
2000,0.324300,0.545394,848.24,788.35,2000,10,8,0.30,0.40,3,280.08,267.93,70.99,64.96,989.96,917.50
2000,0.323681,0.545000,897.14,834.41,2000,10,8,0.30,0.40,3,326.16,312.89,71.35,65.12,1039.61,964.08
2000,0.322078,0.542713,963.93,892.49,2000,10,9,0.30,0.40,3,322.92,308.50,71.21,64.90,1034.98,957.54
1999,0.324157,0.544885,763.55,712.29,2000,10,6,0.30,0.40,3,328.37,315.03,72.48,66.11,1053.22,976.15
2000,0.327343,0.549953,682.02,635.23,2000,10,6,0.30,0.40,3,255.40,245.05,71.01,64.91,965.48,894.10
2000,0.326164,0.548188,760.68,706.56,2000,10,7,0.30,0.40,3,264.11,253.65,70.89,64.63,973.01,899.93
2000,0.326566,0.549087,762.25,710.14,2000,10,7,0.30,0.40,3,263.89,254.26,71.14,65.08,975.26,905.08
2000,0.325699,0.547809,902.46,837.75,2000,10,9,0.30,0.40,3,265.48,255.22,70.78,64.71,973.23,902.33
2000,0.324861,0.546228,770.64,716.78,2000,10,7,0.30,0.40,3,270.05,257.79,71.44,65.50,984.44,912.77
2000,0.325623,0.547163,769.82,712.99,2000,10,7,0.30,0.40,3,268.40,255.89,71.54,65.21,983.81,908.01
2000,0.322655,0.543075,861.84,803.80,2000,10,7,0.30,0.40,3,361.18,345.33,71.43,65.43,1075.45,999.59
2000,0.324221,0.545434,850.44,789.44,2000,10,8,0.30,0.40,3,281.78,270.15,71.04,64.88,992.16,918.97
2000,0.322554,0.542864,849.38,791.10,2000,10,7,0.30,0.40,3,348.25,332.10,71.51,65.54,1063.35,987.46
2000,0.325397,0.546764,801.55,743.04,2000,10,7,0.30,0.40,3,300.56,285.93,71.51,65.25,1015.68,938.46
2000,0.324138,0.545830,885.81,823.50,2000,10,8,0.30,0.40,3,312.34,298.54,71.64,65.57,1028.78,954.20
2000,0.325055,0.546080,771.94,717.63,2000,10,7,0.30,0.40,3,271.08,259.77,71.49,65.29,986.03,912.63
2000,0.324250,0.546369,799.88,744.19,2000,10,7,0.30,0.40,3,299.50,287.00,71.42,65.29,1013.71,939.89
2000,0.322271,0.542855,879.36,819.42,2000,10,7,0.30,0.40,3,381.22,364.19,71.15,65.02,1092.72,1014.42
1999,0.324429,0.546030,756.42,704.63,2000,10,6,0.30,0.40,3,323.48,309.74,72.01,65.65,1043.55,966.22
2000,0.323991,0.545087,843.88,784.96,2000,10,7,0.30,0.40,3,341.75,325.34,71.67,65.60,1058.42,981.31
1999,0.327297,0.549864,873.37,811.59,2000,10,8,0.30,0.40,3,298.01,285.98,71.90,65.67,1017.02,942.66

2999,0.311205,0.531539,1232.65,1142.74,3000,10,8,0.30,0.40,3,328.18,317.67,113.01,103.06,1458.29,1348.24
3000,0.309063,0.527967,1017.55,946.62,3000,10,6,0.30,0.40,3,332.45,320.50,114.08,104.21,1473.27,1362.60
2999,0.308335,0.527490,1147.33,1063.29,3000,10,7,0.30,0.40,3,352.64,338.21,113.44,103.51,1487.02,1373.31
2999,0.308444,0.527227,1148.68,1065.28,3000,10,7,0.30,0.40,3,355.34,340.02,113.24,103.47,1487.78,1374.77
3000,0.308888,0.526962,1057.84,984.72,3000,10,6,0.30,0.40,3,369.48,354.98,114.65,104.90,1515.96,1403.94
3000,0.308143,0.527221,1385.30,1282.41,3000,10,9,0.30,0.40,3,354.82,339.99,114.49,104.74,1499.69,1387.37
2998,0.310500,0.531181,1131.16,1047.64,3000,10,7,0.30,0.40,3,332.03,317.72,114.09,104.23,1472.95,1360.01
2999,0.309368,0.528607,1248.48,1156.78,3000,10,8,0.30,0.40,3,341.61,327.93,113.31,103.51,1474.69,1363.02
3000,0.313140,0.533680,1138.31,1056.68,3000,10,7,0.30,0.40,3,343.11,329.75,113.58,103.78,1478.94,1367.53
2999,0.311138,0.531321,1211.40,1116.44,3000,10,8,0.30,0.40,3,307.82,296.63,112.88,102.35,1436.57,1320.13
2999,0.308259,0.526067,1050.39,977.44,3000,10,6,0.30,0.40,3,362.11,347.48,114.56,104.71,1507.67,1394.62
2999,0.311237,0.531844,1097.70,1015.08,3000,10,7,0.30,0.40,3,302.76,290.29,113.51,103.54,1437.88,1325.70
3000,0.307175,0.525914,1148.39,1065.36,3000,10,7,0.30,0.40,3,344.12,330.69,114.78,104.78,1491.87,1378.50
2998,0.310482,0.530910,1115.03,1032.44,3000,10,7,0.30,0.40,3,313.03,300.72,114.51,104.53,1458.17,1346.02
3000,0.311453,0.529815,1006.16,933.76,3000,10,6,0.30,0.40,3,316.73,304.14,114.83,104.91,1465.01,1353.27
2999,0.309432,0.529721,1122.83,1039.01,3000,10,7,0.30,0.40,3,325.78,312.83,113.83,103.65,1464.10,1349.37
3000,0.309071,0.528252,1135.31,1051.37,3000,10,7,0.30,0.40,3,332.38,318.96,114.65,104.54,1478.85,1364.34
2999,0.310083,0.530044,1242.77,1151.78,3000,10,8,0.30,0.40,3,335.02,322.52,113.43,103.62,1469.35,1358.72
2999,0.310769,0.531011,1127.01,1047.42,3000,10,7,0.30,0.40,3,334.40,323.20,113.13,103.32,1465.71,1356.44

4000,0.296842,0.514005,1374.48,1271.79,4000,10,7,0.30,0.40,3,389.28,376.13,140.74,127.94,1796.66,1655.50
4000,0.295953,0.513272,1550.36,1433.47,4000,10,8,0.30,0.40,3,423.02,408.84,140.92,128.01,1832.23,1688.89
3999,0.298991,0.518323,1393.76,1279.47,4000,10,7,0.30,0.40,3,404.46,389.79,141.35,127.10,1817.99,1660.78
3997,0.298222,0.516967,1401.37,1287.02,4000,10,7,0.30,0.40,3,413.02,397.50,141.20,127.03,1825.01,1667.75
4000,0.298809,0.517194,1548.75,1433.91,4000,10,8,0.30,0.40,3,426.15,413.46,140.36,127.57,1829.73,1689.20
4000,0.298576,0.515803,1811.07,1656.77,4000,10,10,0.30,0.40,3,388.39,375.85,142.27,128.09,1811.07,1656.77
3998,0.301119,0.520490,1517.36,1396.86,4000,10,8,0.30,0.40,3,370.77,358.96,143.35,129.95,1804.31,1658.50
3998,0.296097,0.513000,1737.36,1601.29,4000,10,9,0.30,0.40,3,452.29,435.93,142.82,129.59,1880.52,1731.84
4000,0.299488,0.516984,1503.78,1386.60,4000,10,8,0.30,0.40,3,364.84,351.68,142.36,129.36,1788.46,1645.29
4000,0.298971,0.518469,1518.39,1397.99,4000,10,8,0.30,0.40,3,391.22,377.89,140.93,127.35,1800.49,1651.41
4000,0.297716,0.515578,1372.41,1262.36,4000,10,7,0.30,0.40,3,382.17,366.61,141.44,128.15,1796.53,1648.08
3999,0.299707,0.517702,1382.26,1273.33,4000,10,7,0.30,0.40,3,377.24,361.83,143.58,130.02,1813.07,1662.06
3997,0.298997,0.518199,1267.87,1167.64,4000,10,6,0.30,0.40,3,418.98,404.78,141.50,127.18,1833.97,1676.56
3999,0.297711,0.516300,1252.47,1152.12,4000,10,6,0.30,0.40,3,406.98,392.21,140.90,126.73,1815.94,1659.55
4000,0.296671,0.514670,1386.14,1278.99,4000,10,7,0.30,0.40,3,400.59,383.13,140.79,127.89,1808.49,1662.02


SILK (old for sigmod submission)
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
1000,0.350870,0.576458,674.36,630.27,1000,10,8,0.30,0.40,3,343.77,326.27,41.28,37.95,756.57,705.75
2000,0.322845,0.544174,903.83,840.04,2000,10,7,0.30,0.40,3,406.51,389.00,70.95,64.29,1116.02,1031.93
3000,0.305853,0.525428,1335.14,1244.73,3000,10,7,0.30,0.40,3,537.12,516.65,113.91,103.90,1676.26,1555.61
3998,0.295248,0.513358,1661.86,1532.47,4000,10,7,0.30,0.40,3,650.44,623.40,143.94,129.86,2089.87,1922.03
4999,0.287719,0.505330,2206.74,2031.29,5000,10,8,0.30,0.40,3,657.85,632.60,193.52,174.74,2593.02,2379.97
5999,0.279149,0.494015,2682.78,2458.57,6000,10,8,0.30,0.40,3,757.05,728.41,240.60,216.25,3163.04,2890.90
6997,0.272512,0.486243,3244.03,2978.15,7000,10,8,0.30,0.40,3,949.97,917.40,286.65,257.65,3816.50,3493.88
7997,0.267519,0.481150,3193.36,2941.66,8000,10,7,0.30,0.40,3,899.95,870.92,327.40,295.84,4173.96,3829.32
8999,0.262004,0.474249,4767.40,4389.96,9000,10,10,0.30,0.40,3,1055.48,1022.62,371.19,336.74,4767.41,4389.97
9998,0.257919,0.469174,5222.01,4811.10,10000,10,10,0.30,0.40,3,1044.14,1015.31,417.79,379.58,5222.03,4811.12

1000,0.351767,0.576893,683.77,640.24,1000,10,9,0.30,0.40,3,312.83,297.81,41.21,38.05,724.92,678.34
1000,0.352588,0.577144,564.32,525.86,1000,10,7,0.30,0.40,3,274.52,259.69,41.30,38.01,687.52,639.81
1000,0.350870,0.576458,674.36,630.27,1000,10,8,0.30,0.40,3,343.77,326.27,41.28,37.95,756.57,705.75
1000,0.352220,0.577256,577.06,544.98,1000,10,6,0.30,0.40,3,331.81,317.36,40.76,37.60,739.40,693.36
999,0.353501,0.578523,650.51,610.71,1000,10,7,0.30,0.40,3,363.44,347.82,40.99,37.60,773.32,723.86
1000,0.353202,0.577632,584.94,549.53,1000,10,6,0.30,0.40,3,339.10,323.44,40.87,37.50,747.83,698.46

2000,0.322845,0.544174,903.83,840.04,2000,10,7,0.30,0.40,3,406.51,389.00,70.95,64.29,1116.02,1031.93
2000,0.323656,0.544890,917.90,853.15,2000,10,7,0.30,0.40,3,419.40,401.56,71.10,64.46,1130.44,1046.17
2000,0.323926,0.545197,902.10,834.67,2000,10,7,0.30,0.40,3,404.49,385.51,70.99,64.08,1114.44,1026.31
1999,0.326125,0.547815,986.80,911.23,2000,10,9,0.30,0.40,3,341.67,327.16,71.67,64.90,1058.38,976.14
2000,0.324563,0.546151,894.86,829.71,2000,10,7,0.30,0.40,3,397.68,380.30,70.94,64.10,1107.03,1021.29
2000,0.322832,0.544660,992.17,919.04,2000,10,8,0.30,0.40,3,422.22,402.63,71.19,64.38,1134.08,1046.45

2999,0.308778,0.529055,1423.06,1317.53,3000,10,9,0.30,0.40,3,408.11,392.95,112.74,102.71,1535.53,1420.06
3000,0.306169,0.525325,1437.70,1336.75,3000,10,8,0.30,0.40,3,527.68,507.60,113.71,103.61,1664.76,1543.70
3000,0.305853,0.525428,1335.14,1244.73,3000,10,7,0.30,0.40,3,537.12,516.65,113.91,103.90,1676.26,1555.61
3000,0.309218,0.529508,1393.81,1291.84,3000,10,8,0.30,0.40,3,486.76,466.45,113.33,103.12,1620.05,1497.70
3000,0.306457,0.526037,1358.21,1265.77,3000,10,7,0.30,0.40,3,563.33,541.73,113.47,103.37,1698.08,1575.46

3997,0.296433,0.514771,1545.65,1426.07,4000,10,7,0.30,0.40,3,553.72,532.62,141.69,127.73,1970.58,1809.97
3999,0.298310,0.517528,1659.55,1537.90,4000,10,8,0.30,0.40,3,531.48,512.52,141.01,128.19,1941.58,1794.42
3999,0.296024,0.514349,1866.12,1715.32,4000,10,9,0.30,0.40,3,584.51,562.33,142.38,128.08,2008.29,1843.14
3998,0.298184,0.517566,1612.47,1493.93,4000,10,7,0.30,0.40,3,614.67,594.29,142.56,128.71,2040.32,1881.37
3998,0.295248,0.513358,1661.86,1532.47,4000,10,7,0.30,0.40,3,650.44,623.40,143.94,129.86,2089.87,1922.03

5000,0.288402,0.506067,2602.20,2400.18,5000,10,10,0.30,0.40,3,672.09,649.99,193.01,175.02,2602.20,2400.18
4995,0.288654,0.506593,2179.76,2007.05,5000,10,8,0.30,0.40,3,646.69,620.63,191.54,173.33,2562.09,2353.95
4999,0.287719,0.505330,2206.74,2031.29,5000,10,8,0.30,0.40,3,657.85,632.60,193.52,174.74,2593.02,2379.97
5000,0.288289,0.505674,2265.00,2087.97,5000,10,8,0.30,0.40,3,710.22,682.10,194.28,175.59,2653.03,2437.98

5999,0.279149,0.494015,2682.78,2458.57,6000,10,8,0.30,0.40,3,757.05,728.41,240.60,216.25,3163.04,2890.90
5998,0.280827,0.497486,2661.32,2439.55,6000,10,8,0.30,0.40,3,748.08,720.12,239.13,215.01,3139.39,2870.22

6997,0.274394,0.490065,3335.38,3059.52,7000,10,9,0.30,0.40,3,801.38,774.49,281.52,253.90,3616.53,3313.51
6997,0.272512,0.486243,3244.03,2978.15,7000,10,8,0.30,0.40,3,949.97,917.40,286.65,257.65,3816.50,3493.88

7996,0.267645,0.479923,3269.27,3028.33,8000,10,7,0.30,0.40,3,952.74,923.24,330.75,300.32,4260.27,3926.47
7997,0.267519,0.481150,3193.36,2941.66,8000,10,7,0.30,0.40,3,899.95,870.92,327.40,295.84,4173.96,3829.32

8997,0.262914,0.475300,3480.07,3204.00,9000,10,7,0.30,0.40,3,900.22,873.24,368.34,332.46,4583.65,4197.86
8999,0.262004,0.474249,4767.40,4389.96,9000,10,10,0.30,0.40,3,1055.48,1022.62,371.19,336.74,4767.41,4389.97

9998,0.257919,0.469174,5222.01,4811.10,10000,10,10,0.30,0.40,3,1044.14,1015.31,417.79,379.58,5222.03,4811.12
9995,0.258177,0.469471,5256.52,4834.79,10000,10,10,0.30,0.40,3,1124.61,1091.22,413.19,374.36,5256.52,4834.79
