Parameters currently used
#Clusters,Total,D2C,Radius,K,MAE,MSE,m,h,w,t,l,k,b,delta,GBin,LBin,GMode,LMode,#Buckets,#Bins,#Seeds,Phase1,Phase2,Phase3,Eval
11964,234.35,0.0984,0.2547,11999,0.1220,0.0279,20,6,-1.00,40,10,4,1,30,0.9,0.8,0.5,0.3,74355,90848,17091,1.14,7.08,226.13,2.38
12129,228.76,0.0975,0.2590,12172,0.1230,0.0283,24,6,-1.00,30,8,6,1,30,0.9,0.8,0.5,0.3,114269,87184,16863,1.21,6.56,220.99,3.55
12331,219.52,0.1067,0.2493,12399,0.1240,0.0278,24,4,-1.00,40,10,4,1,30,0.9,0.8,0.5,0.3,69371,92022,16622,1.19,9.29,209.04,2.79

12560,248.89,0.0970,0.2535,12603,0.1207,0.0273,24,6,-1.00,30,10,6,1,30,0.9,0.8,0.5,0.3,114269,108748,17645,1.19,8.11,239.59,3.18
12573,263.24,0.0981,0.2521,12614,0.1195,0.0266,20,6,-1.00,40,12,4,1,30,0.9,0.8,0.5,0.3,74355,109023,18295,1.16,8.37,253.71,2.69
12959,246.72,0.1062,0.2440,13032,0.1210,0.0265,24,4,-1.00,40,12,4,1,30,0.9,0.8,0.5,0.3,69371,110457,17791,1.20,11.12,234.40,3.08
13252,251.09,0.1044,0.2512,13315,0.1210,0.0266,28,4,-1.00,30,12,6,1,30,0.9,0.8,0.5,0.3,101562,130335,17857,1.29,12.68,237.12,2.35

13392,289.31,0.0972,0.2484,13445,0.1173,0.0258,24,6,-1.00,40,8,4,1,30,0.9,0.8,0.5,0.3,88718,89473,19482,1.21,6.82,281.28,1.82
13747,288.08,0.0954,0.2460,13788,0.1170,0.0257,20,6,-1.00,30,10,4,1,30,0.9,0.8,0.5,0.3,95859,108678,19376,1.15,7.63,279.30,2.09
13778,289.52,0.0957,0.2488,13818,0.1174,0.0259,28,6,-1.00,30,8,6,1,30,0.9,0.8,0.5,0.3,132392,103599,19365,1.29,7.64,280.59,3.08
13872,275.61,0.1062,0.2422,13958,0.1187,0.0257,28,4,-1.00,40,10,4,1,30,0.9,0.8,0.5,0.3,80233,108617,19077,1.28,10.92,263.41,3.15

13900,316.32,0.0970,0.2451,13963,0.1154,0.0250,24,6,-1.00,40,10,4,1,30,0.9,0.8,0.5,0.3,88718,111779,20513,1.23,8.31,306.78,3.30
14230,313.10,0.0958,0.2467,14285,0.1160,0.0252,28,6,-1.00,30,10,6,1,30,0.9,0.8,0.5,0.3,132392,129239,20239,1.29,9.40,302.41,4.55
14356,320.81,0.0954,0.2437,14412,0.1149,0.0247,20,6,-1.00,30,12,4,1,30,0.9,0.8,0.5,0.3,95859,130526,20623,1.14,9.01,310.66,3.58
14603,308.91,0.1054,0.2397,14695,0.1166,0.0247,28,4,-1.00,40,12,4,1,30,0.9,0.8,0.5,0.3,80233,130463,20388,1.27,12.94,294.70,4.82
14763,302.10,0.1038,0.2394,14853,0.1172,0.0250,24,4,-1.00,30,12,4,1,30,0.9,0.8,0.5,0.3,87817,131276,20072,1.19,11.64,289.27,3.43

14880,347.76,0.0947,0.2403,14938,0.1135,0.0242,28,6,-1.00,30,12,6,1,30,0.9,0.8,0.5,0.3,132392,155202,21570,1.31,11.22,335.23,3.40
15114,358.43,0.0965,0.2398,15183,0.1126,0.0240,28,6,-1.00,40,8,4,1,30,0.9,0.8,0.5,0.3,102793,105207,22299,1.30,7.72,349.41,4.80
15334,353.53,0.0946,0.2400,15401,0.1126,0.0240,24,6,-1.00,30,8,4,1,30,0.9,0.8,0.5,0.3,114269,106218,22011,1.22,7.24,345.07,2.71
15795,335.25,0.1032,0.2356,15900,0.1141,0.0238,28,4,-1.00,30,10,4,1,30,0.9,0.8,0.5,0.3,101562,128405,21491,1.28,11.45,322.52,2.89
