alpha,MSE,MAE,Time
701,0.809649,0.898787,8460101
702,0.820872,0.904778,7967931
703,0.854037,0.923135,6288916
704,0.820863,0.905000,6740580
705,0.830365,0.909938,254370
706,0.792929,0.887580,4760303
707,0.753705,0.861391,1860503
708,0.799796,0.892666,6375933
709,0.824321,0.906486,652906
710,0.739178,0.857704,4135329
711,0.836825,0.913357,256125
712,0.777422,0.876644,1003440
713,0.789423,0.884559,3032542
714,0.772919,0.877798,2784457
715,0.766791,0.869833,8551188
716,0.799060,0.892719,5738505
717,0.730702,0.845535,7159389
718,0.712758,0.835358,9828945
719,0.876272,0.934852,9273666
720,0.841393,0.916195,79801
721,0.782741,0.880992,4827043
722,0.800654,0.892847,7255649
723,0.835857,0.913158,2940566
724,0.700447,0.827502,5745955
725,0.837154,0.913987,6171719
726,0.760035,0.865352,2731507
727,0.834597,0.912081,3926367
728,0.804901,0.893766,5336474
729,0.835973,0.912992,1263177
730,0.858155,0.925153,7295171
731,0.884300,0.939681,7868149
732,0.783143,0.883415,9723278
733,0.723033,0.842254,5263102
734,0.852287,0.920822,4157065
735,0.817818,0.903098,6463859
736,0.792580,0.888520,5517473
737,0.822215,0.905762,8917369
738,0.871752,0.932868,8324362
739,0.780573,0.882290,1893406
740,0.768818,0.872941,9570276
741,0.769901,0.875481,2459692
742,0.812493,0.899861,2149531
743,0.773371,0.877324,573716
744,0.794770,0.889803,5492235
745,0.878336,0.936396,4933989
746,0.779406,0.879115,9124904
747,0.803869,0.895062,1230740
748,0.826329,0.907326,2093379
749,0.807433,0.894855,8953850
750,0.825579,0.906820,504406
751,0.875804,0.935080,2173180
752,0.810448,0.896867,3780894
753,0.822981,0.904415,7760056
754,0.752032,0.860672,5113747
755,0.761984,0.865926,9526849
756,0.769963,0.873757,3931775
757,0.805457,0.896034,7845254
758,0.695172,0.824408,3453216
759,0.721835,0.841238,9268250
760,0.768748,0.869956,9108432
761,0.773025,0.877663,748387
762,0.776921,0.879846,7136399
763,0.813134,0.900604,8831711
764,0.740406,0.853924,6011490
765,0.778412,0.877957,1293465
766,0.790324,0.887331,5295571
767,0.768836,0.875126,1528963
768,0.792973,0.888915,210834
769,0.790940,0.887206,3619933
770,0.808044,0.895770,3422370
771,0.856252,0.924334,9781110
772,0.832535,0.909181,6079626
773,0.754040,0.862159,5571901
774,0.710094,0.833485,354827
775,0.843696,0.917304,1571861
776,0.807893,0.897589,505891
777,0.829665,0.908971,9479732
778,0.768200,0.874668,2802601
779,0.818178,0.903509,2599270
780,0.736389,0.850566,8433583
781,0.788327,0.886577,3307008
782,0.872838,0.933421,4772450
783,0.851262,0.921734,2214477
784,0.758433,0.864397,1067064
785,0.819628,0.903683,9886197
786,0.821339,0.904513,1741326
787,0.827576,0.908353,4998840
788,0.848574,0.919871,7731452
789,0.790652,0.888024,5194543
790,0.801439,0.891371,4267090
791,0.717198,0.839009,6839884
792,0.869896,0.931732,5942930
793,0.764813,0.872481,1403490
794,0.753008,0.860971,5671596
795,0.853410,0.922343,1954420
796,0.774462,0.878393,2696955
797,0.739210,0.855893,967167
798,0.769568,0.875074,3483384
799,0.783919,0.883875,2907790
800,0.746339,0.857045,4587101
801,0.836832,0.913633,6905754
802,0.816189,0.900123,2688901
803,0.762585,0.871336,666727
804,0.771073,0.875749,2477656
805,0.821291,0.904562,3043729
806,0.832807,0.910784,2238589
807,0.810612,0.898789,2983547
808,0.725105,0.843007,2523461
809,0.787537,0.886028,5041191
810,0.770969,0.875641,5582817
811,0.819376,0.903808,957044
812,0.830324,0.909167,8348200
813,0.872367,0.932889,355268
814,0.860060,0.926502,3171521
815,0.793982,0.884729,9415265
816,0.781596,0.880572,241465
817,0.851900,0.921708,4912848
818,0.808413,0.895470,4414105
819,0.834901,0.912477,7972917
820,0.775552,0.877609,107391
821,0.726521,0.843833,8681196
822,0.905826,0.950835,4812802
823,0.841166,0.916241,6050322
824,0.916282,0.956551,84686
825,0.720445,0.840345,484398
826,0.807281,0.897434,8004743
827,0.801662,0.893238,2781642
828,0.757285,0.862812,1451566
829,0.846526,0.918871,1488127
830,0.700568,0.827947,5689433
831,0.870855,0.932037,6038667
832,0.847207,0.919280,8393882
833,0.786549,0.881351,8378334
834,0.786050,0.884871,6705395
835,0.800547,0.893238,871538
836,0.857076,0.923441,1422063
837,0.728133,0.846007,8943984
838,0.824192,0.906552,3855086
839,0.885762,0.940353,3945525
840,0.815162,0.901231,3985176
841,0.812047,0.899454,9437904
842,0.805465,0.896069,4902570
843,0.706958,0.833225,2333376
844,0.804393,0.893588,9793172
845,0.852921,0.922665,8074092
846,0.737450,0.852079,1748642
847,0.753213,0.861699,34638
848,0.823466,0.902613,2986940
849,0.773541,0.878008,6162748
850,0.753181,0.861657,8007555
851,0.786741,0.885218,3094332
852,0.763802,0.867761,4843944
853,0.835017,0.911936,2820358
854,0.725276,0.843155,9144654
855,0.802478,0.894259,4928631
856,0.862310,0.927676,3304757
857,0.758597,0.866511,7149397
858,0.725313,0.843673,7710274
859,0.727650,0.845919,4756323
860,0.834922,0.912444,8637525
861,0.840334,0.915699,3399707
862,0.779581,0.878964,794990
863,0.714097,0.836395,7031407
864,0.864790,0.926854,1778041
865,0.792463,0.888723,7500386
866,0.726464,0.844007,7902946
867,0.743116,0.860045,3200105
868,0.833251,0.911549,6444370
869,0.881160,0.937642,1758032
870,0.848130,0.918399,7145631
871,0.837249,0.913554,429547
872,0.804268,0.895417,1195937
873,0.862053,0.927422,2048201
874,0.802164,0.894246,2762924
875,0.759570,0.869354,989109
876,0.744642,0.855262,122293
877,0.791176,0.887786,4511566
878,0.769786,0.875547,1023747
879,0.846465,0.918244,3109234
880,0.809749,0.898296,674314
881,0.877797,0.935607,9031303
882,0.747250,0.860615,6203566
883,0.735710,0.849032,5518259
884,0.779719,0.878755,1851661
885,0.755718,0.863734,5348221
886,0.847523,0.919542,446890
887,0.770340,0.871419,5156419
888,0.794285,0.889537,2497618
889,0.786163,0.885107,8157164
890,0.838305,0.914444,9912742
891,0.724997,0.843490,1135144
892,0.820505,0.904492,1556872
893,0.801943,0.893504,707733
894,0.735663,0.850549,8166551
895,0.795989,0.890835,3334914
896,0.797910,0.891143,8208119
897,0.746767,0.856145,6069498
898,0.783964,0.881956,6535019
899,0.709732,0.833549,4652490
900,0.775195,0.878332,7827531
901,0.823260,0.906223,3680651
902,0.816839,0.902297,5082037
903,0.784666,0.883879,9023468
904,0.722841,0.842074,5728852
905,0.788082,0.886069,7844962
906,0.841981,0.916446,12578
907,0.818617,0.901478,5851146
908,0.777898,0.878292,2356528
909,0.750967,0.860250,1036325
910,0.827931,0.906470,8960380
911,0.801540,0.893772,3030843
912,0.814724,0.899319,67629
913,0.800770,0.893250,5163946
914,0.790900,0.885755,8549103
915,0.748117,0.858168,1919291
916,0.851472,0.921524,512167
917,0.778660,0.878494,8995994
918,0.753164,0.861703,7075710
919,0.769383,0.870553,3009786
920,0.783667,0.881567,7153159
921,0.838205,0.913431,6988452
922,0.776156,0.877266,4144931
923,0.821058,0.904721,8710031
924,0.760153,0.869892,7696186
925,0.748055,0.857193,2311482
926,0.819809,0.903703,2044945
927,0.856114,0.923735,5904305
928,0.813825,0.900790,8380981
929,0.815806,0.899835,8579965
930,0.785600,0.884817,556795
931,0.770155,0.870748,6208512
932,0.834760,0.912793,2260616
933,0.746750,0.857445,5638832
934,0.802582,0.892258,5231981
935,0.750060,0.861607,7989468
936,0.884390,0.937650,3483794
937,0.851499,0.921689,5244559
938,0.853722,0.922394,3840615
939,0.735183,0.850864,5840323
940,0.822394,0.905572,6280885
941,0.753621,0.860244,2800995
942,0.843435,0.916884,8871167
943,0.800810,0.893393,6348514
944,0.770091,0.871329,7964942
945,0.825520,0.903957,7420270
946,0.808408,0.897666,8267806
947,0.778520,0.878605,8477109
948,0.776519,0.879287,6416264
949,0.774993,0.878279,5343516
950,0.839129,0.915141,1486896
951,0.830801,0.908382,3569423
952,0.823065,0.905509,2331969
953,0.762071,0.867071,5631827
954,0.796347,0.891093,2279454
955,0.869004,0.930892,28155
956,0.735358,0.849812,7943310
957,0.714853,0.836810,4324399
958,0.786658,0.885624,5932460
959,0.737810,0.850679,6324292
960,0.726649,0.843971,2904364
961,0.824627,0.906931,6489256
962,0.791901,0.888567,2532804
963,0.758565,0.864225,5164981
964,0.764142,0.871862,2128089
965,0.782582,0.881092,7764786
966,0.803894,0.895314,3154450
967,0.825353,0.907425,5611883
968,0.729213,0.846118,3009345
969,0.750503,0.859492,6995065
970,0.731907,0.847373,1452207
971,0.824576,0.906748,9290231
972,0.780947,0.881480,9796060
973,0.783395,0.883202,323375
974,0.759476,0.864221,5638746
975,0.779002,0.880880,7761003
976,0.747096,0.862266,7743645
977,0.784563,0.884144,3906552
978,0.781219,0.878041,6238113
979,0.813302,0.900283,4159910
980,0.843506,0.917458,9250069
981,0.794777,0.888109,7725009
982,0.813304,0.900647,7729333
983,0.796213,0.888682,1582038
984,0.870538,0.932050,3356837
985,0.789804,0.887025,8788
986,0.787430,0.885961,1610194
987,0.733605,0.847795,1300148
988,0.881762,0.937999,4333188
989,0.818839,0.903936,7542655
990,0.798241,0.891912,7624440
991,0.871251,0.932052,7237553
992,0.800854,0.893400,4031911
993,0.819645,0.904048,157245
994,0.732305,0.848410,2402534
995,0.816032,0.901374,6160000
996,0.808842,0.897726,7922031
997,0.785313,0.884479,5556984
998,0.838433,0.914517,1771884
999,0.832823,0.910763,931377
1000,0.853203,0.922620,2552050
