alpha,MSE,MAE,Time
726,0.771284,0.871851,37439947
727,0.742683,0.857244,21286759
728,0.749552,0.862009,23539767
729,0.738426,0.856577,29488790
730,0.793424,0.888401,9106039
731,0.758572,0.869304,10680194
732,0.800254,0.891493,25615175
733,0.758108,0.867357,21757866
734,0.773696,0.877934,673165
735,0.897601,0.946406,37660306
736,0.739300,0.857163,14050921
737,0.826686,0.907859,8316810
738,0.790481,0.887607,21129333
739,0.752096,0.864780,16211420
740,0.736242,0.855789,12418496
741,0.747339,0.860362,27487801
742,0.720347,0.841268,26082095
743,0.755834,0.866700,17923728
744,0.796301,0.891130,10876294
745,0.792034,0.887929,28429088
746,0.716731,0.843687,13458479
747,0.783682,0.883183,8672981
748,0.843106,0.916751,30694007
749,0.833629,0.911211,10435186
750,0.759261,0.868939,27636185
751,0.784499,0.884299,654038
752,0.808946,0.897402,34167439
753,0.789923,0.885777,34462096
754,0.798690,0.891924,24288208
755,0.825022,0.906544,12997002
756,0.791809,0.886089,27004934
757,0.743244,0.859367,21299196
758,0.815183,0.899632,34283762
759,0.830373,0.909468,10115742
760,0.800005,0.893134,10359026
761,0.802947,0.894631,2960841
762,0.772573,0.875214,20795936
763,0.733709,0.849799,35974202
764,0.804742,0.891704,24718708
765,0.751729,0.862841,21469102
766,0.789793,0.886018,33205549
767,0.800588,0.892934,38769629
768,0.715345,0.838163,29785913
769,0.857027,0.924604,13905922
770,0.859201,0.925365,14552090
771,0.849255,0.920232,1775450
772,0.819314,0.902477,964764
773,0.749866,0.864139,205225
774,0.719326,0.840444,19699179
775,0.726343,0.849739,11841058
776,0.813511,0.899698,28634314
777,0.751902,0.863834,33157658
778,0.713514,0.839306,20514040
779,0.823650,0.905826,18899361
780,0.725566,0.848476,3163884
781,0.757967,0.867999,7721266
782,0.768668,0.874339,19553399
783,0.736878,0.853886,37331323
784,0.824207,0.906228,1754403
785,0.817338,0.900996,3412648
786,0.824849,0.906659,9899366
787,0.815125,0.899582,28759337
788,0.762354,0.870079,24711845
789,0.859699,0.926049,3754168
790,0.807633,0.896357,38875079
791,0.707952,0.835691,35070872
792,0.846862,0.916205,6715010
793,0.773619,0.877390,19242056
794,0.757977,0.867681,30616115
795,0.741635,0.858681,31433718
796,0.886452,0.939485,282198
797,0.734171,0.849918,23392704
798,0.809089,0.896047,29774387
799,0.757221,0.865932,30068111
800,0.790029,0.886852,37298627
801,0.801735,0.893338,3897518
802,0.806243,0.895223,31843562
803,0.745543,0.856894,38263391
804,0.862112,0.927370,4102743
805,0.811639,0.899481,11113781
806,0.807588,0.897396,9675490
807,0.821193,0.904012,32737058
808,0.781054,0.882080,3842479
809,0.811339,0.897937,30189530
810,0.879621,0.937097,11207459
811,0.816602,0.901859,7006364
812,0.768454,0.873178,37910796
813,0.797518,0.890627,30760859
814,0.802613,0.894677,3908728
815,0.834477,0.912034,39665199
816,0.729151,0.851550,34173508
817,0.854419,0.922774,13808094
818,0.745149,0.857028,27995577
819,0.768215,0.873738,18456393
820,0.820710,0.903857,17562263
821,0.743153,0.855878,26441697
822,0.806223,0.896548,13098305
823,0.722618,0.842704,24277273
824,0.872464,0.932467,5254794
825,0.847219,0.919228,3285460
826,0.775875,0.879179,15282031
827,0.815208,0.899676,5536992
828,0.800507,0.890791,26678165
829,0.787987,0.886040,4627459
830,0.822200,0.905424,35605104
831,0.795405,0.888642,23547832
832,0.847427,0.917362,8524977
833,0.771550,0.875246,27019706
834,0.779586,0.879955,21382264
