alpha,MSE,MAE,Time
173,0.365969,0.600240,1863774
174,0.219823,0.460487,310690
175,0.197775,0.435514,31536
176,0.306870,0.549331,347309
177,0.210363,0.450492,1785485
178,0.265790,0.508458,1271270
179,0.474923,0.688016,1254960
180,0.256912,0.502257,591819
181,0.283695,0.528996,538273
182,0.304050,0.548138,1298085
183,0.217285,0.458966,2149459
184,0.250225,0.494619,2022602
185,0.232857,0.476367,564132
186,0.224098,0.466520,999601
187,0.271968,0.513992,1771856
188,0.241316,0.482351,1142593
189,0.209991,0.448821,221626
190,0.232384,0.471249,1110466
191,0.240195,0.482513,2255338
192,0.262280,0.504947,2110330
193,0.349752,0.587941,1533757
194,0.370246,0.606991,638376
195,0.233242,0.476403,514546
196,0.299483,0.543522,666134
197,0.238339,0.477950,1074478
198,0.221660,0.462314,1098070
199,0.217220,0.456968,725020
200,0.278559,0.524374,1405416
201,0.220614,0.461279,2098845
202,0.277196,0.521718,1233643
203,0.290743,0.535485,2328600
204,0.281753,0.525120,1566491
205,0.216630,0.457223,1544333
206,0.282722,0.526651,2360137
207,0.501920,0.706489,1913801
208,0.247395,0.487875,933691
209,0.246324,0.491218,1235280
210,0.208136,0.445239,772634
211,0.215689,0.455607,1525510
212,0.193836,0.429178,1773554
213,0.301628,0.545837,2070720
214,0.255595,0.498240,1278841
215,0.197983,0.435752,1400029
216,0.297876,0.541806,238724
217,0.573340,0.756295,2278442
218,0.216521,0.456648,775758
219,0.257468,0.501927,1381318
220,0.204010,0.442823,103941
221,0.309016,0.552216,1886224
222,0.221172,0.461824,1240528
223,0.224164,0.465114,2214271
224,0.218700,0.460966,1023854
225,0.257419,0.500157,1878905
226,0.351010,0.589385,332690
227,0.310492,0.554707,1689988
228,0.211244,0.449946,557255
229,0.211527,0.450751,1430760
230,0.282356,0.526992,18881
231,0.283323,0.527165,1962672
232,0.267984,0.514251,1133477
233,0.244993,0.486703,1252525
234,0.316509,0.557860,1895145
235,0.284356,0.529278,303841
236,0.311228,0.554779,400731
237,0.273853,0.518429,1859154
238,0.233541,0.476583,2217643
239,0.280778,0.523647,1334422
240,0.262239,0.504814,698306
241,0.253486,0.496352,594149
242,0.199240,0.436349,463804
243,0.294755,0.537617,75732
244,0.276859,0.521753,268741
245,0.279214,0.524490,1742645
246,0.208186,0.447631,1475761
247,0.307842,0.552628,507466
248,0.294559,0.537636,1624960
249,0.237016,0.477745,2251520
250,0.615904,0.782829,1888784
251,0.298196,0.542504,1728902
252,0.286162,0.530753,1741616
253,0.315501,0.557065,733185
254,0.244543,0.486348,1547045
255,0.264793,0.509779,369342
256,0.286938,0.530889,215962
257,0.284397,0.529359,1879736
258,0.205504,0.444524,2059331
259,0.249976,0.492499,773217
260,0.344160,0.583271,914368
261,0.249813,0.495592,2078213
262,0.277855,0.523407,339762
263,0.312777,0.555424,2047846
264,0.297329,0.541822,934610
265,0.252218,0.494648,2234907
266,0.339888,0.577813,2351687
267,0.306727,0.550328,1335341
268,0.306743,0.549765,1697933
269,0.295862,0.539516,2173202
270,0.210191,0.449968,273635
271,0.205761,0.444410,112
272,0.337339,0.572258,371224
273,0.317415,0.559728,737440
274,0.273502,0.518459,75845
275,0.223013,0.464454,639965
276,0.238933,0.482838,83957
277,0.213860,0.455269,1551607
278,0.198269,0.435106,1147431
279,0.249924,0.492078,1708918
280,0.337339,0.572258,1406999
281,0.193867,0.429304,640088
282,0.309738,0.552794,1041692
283,0.282660,0.526416,752487
284,0.265096,0.511593,1373273
285,0.334738,0.574278,192610
286,0.339680,0.580105,1121830
287,0.248853,0.491581,1589235
288,0.234254,0.477219,2072346
289,0.248005,0.489743,785033
290,0.248030,0.492052,2362453
291,0.292359,0.537810,590587
292,0.242210,0.485617,467119
293,0.266897,0.511058,306087
294,0.337339,0.572258,242305
295,0.337339,0.572258,1401729
296,0.202758,0.440500,144867
297,0.241162,0.482162,197864
298,0.269957,0.514682,340943
299,0.214786,0.453038,1842800
300,0.249089,0.492168,2371067
301,0.259385,0.504425,614579
302,0.205355,0.444212,1842913
303,0.248425,0.491503,346163
304,0.275610,0.521345,1352019
305,0.204401,0.440961,1918758
306,0.250118,0.492143,986129
307,0.262546,0.506635,1435977
308,0.317764,0.560567,1074237
309,0.392166,0.624302,2133561
310,0.190047,0.424342,748767
311,0.211519,0.450683,85108
312,0.304939,0.547421,377521
313,0.302389,0.546642,1790460
314,0.531271,0.728025,837596
315,0.233355,0.473512,1750794
316,0.236034,0.478389,1983070
317,0.215749,0.456449,1959426
318,0.238189,0.482349,943902
319,0.217229,0.459296,1659289
320,0.199245,0.436670,348332
321,0.353636,0.590922,910227
322,0.239199,0.483448,2249876
323,0.243793,0.488773,815451
324,0.245583,0.489751,1216315
325,0.220818,0.462146,96053
326,0.203777,0.443162,2217181
327,0.324285,0.565841,1361182
328,0.213032,0.453021,293918
329,0.283634,0.526938,161997
330,0.276887,0.521195,807855
331,0.279273,0.524021,268858
332,0.291179,0.536551,776576
333,0.304272,0.546344,254640
334,0.303667,0.546313,615022
335,0.224197,0.465206,2128595
336,0.302888,0.547162,2173399
337,0.238346,0.481399,1601151
338,0.336050,0.576939,1168444
339,0.201787,0.439648,851509
340,0.282350,0.526471,1338584
341,0.262123,0.505892,1917212
342,0.268077,0.512608,936617
343,0.291334,0.536061,1716105
344,0.352244,0.590972,1311544
345,0.278653,0.521638,1774214
346,0.247491,0.489230,1070772
347,0.212571,0.452331,898487
348,0.291477,0.536617,1337512
349,0.326909,0.567956,2014674
350,0.196843,0.432680,161648
351,0.215334,0.456561,1685845
352,0.261032,0.506396,528774
353,0.240476,0.484231,15396
354,0.294145,0.537325,105169
355,0.208672,0.446241,1745089
356,0.246897,0.489422,111450
