SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
150,0.102085,0.582009,0.749849,0.717178,16.87,16.79,0.2,0.2,3
150,0.094873,0.582747,0.750693,0.717459,17,16.94,0.2,0.2,3
150,0.092548,0.582146,0.750307,0.702901,16.59,16.52,0.2,0.2,3
150,0.096636,0.582166,0.749927,0.714286,17.17,17.1,0.2,0.2,3
150,0.093722,0.582685,0.750018,0.706524,17.41,17.35,0.2,0.2,3
150,0.090423,0.581198,0.748878,0.710558,16.77,16.7,0.2,0.2,3
150,0.096355,0.583117,0.750555,0.709145,17.48,17.42,0.2,0.2,3
150,0.093183,0.581598,0.749138,0.716523,17.31,17.25,0.2,0.2,3
150,0.095128,0.580719,0.748656,0.70279,17.16,17.1,0.2,0.2,3
150,0.093376,0.5824,0.748964,0.708238,17.17,17.09,0.2,0.2,3
150,0.088536,0.582073,0.750197,0.705323,17.44,17.37,0.2,0.2,3
150,0.094162,0.581906,0.749347,0.702785,17.14,17.07,0.2,0.2,3
150,0.100948,0.58326,0.750978,0.70528,16.81,16.72,0.2,0.2,3
150,0.111618,0.585268,0.751731,0.710088,17.4,17.32,0.2,0.2,3
150,0.108749,0.583916,0.750543,0.71111,17.12,17.06,0.2,0.2,3
150,0.085014,0.578939,0.747424,0.711872,17.26,17.19,0.2,0.2,3
150,0.090645,0.584353,0.75201,0.706926,16.31,16.26,0.2,0.2,3
150,0.091165,0.58184,0.749292,0.703079,17.45,17.38,0.2,0.2,3
150,0.09486,0.582602,0.750196,0.706089,17.33,17.27,0.2,0.2,3
150,0.105497,0.583843,0.75187,0.717276,17.65,17.59,0.2,0.2,3
150,0.099313,0.582667,0.749431,0.711154,16.89,16.82,0.2,0.2,3
150,0.091604,0.583194,0.750409,0.708817,17.73,17.66,0.2,0.2,3
150,0.09823,0.583926,0.750951,0.701751,17.42,17.35,0.2,0.2,3
150,0.108283,0.584145,0.75136,0.719335,17.44,17.38,0.2,0.2,3
150,0.09172,0.580584,0.748292,0.711333,17.5,17.45,0.2,0.2,3
150,0.101061,0.58388,0.751505,0.711983,17.39,17.32,0.2,0.2,3
150,0.115113,0.585874,0.753079,0.72041,16.21,16.14,0.2,0.2,3
150,0.111,0.582669,0.749407,0.706864,16.08,16,0.2,0.2,3

250,0.068748,0.555476,0.728904,0.745608,23.08,22.99,0.2,0.2,3
250,0.065051,0.558078,0.731431,0.728391,21.71,21.64,0.2,0.2,3
250,0.062133,0.557324,0.729735,0.737389,21.04,20.98,0.2,0.2,3
250,0.072458,0.55591,0.729316,0.743283,21.44,21.35,0.2,0.2,3
250,0.064193,0.556687,0.729956,0.725182,21.78,21.7,0.2,0.2,3
250,0.067198,0.556178,0.72958,0.741021,20.85,20.79,0.2,0.2,3
250,0.066569,0.55627,0.728671,0.720679,21.29,21.22,0.2,0.2,3
250,0.074443,0.557979,0.730159,0.742086,21.38,21.31,0.2,0.2,3
250,0.065034,0.55783,0.729859,0.728565,21.67,21.59,0.2,0.2,3
250,0.063954,0.55746,0.729902,0.720664,21.47,21.39,0.2,0.2,3
250,0.064963,0.555615,0.729247,0.737642,21.41,21.34,0.2,0.2,3
250,0.066993,0.556417,0.728407,0.721634,21.61,21.53,0.2,0.2,3
250,0.07125,0.555194,0.727904,0.73505,21.52,21.45,0.2,0.2,3
250,0.066671,0.557257,0.73058,0.733291,21.51,21.44,0.2,0.2,3
250,0.072978,0.558402,0.731334,0.73128,21.84,21.75,0.2,0.2,3
250,0.066293,0.555338,0.72933,0.738733,21.89,21.81,0.2,0.2,3
250,0.074179,0.558285,0.731846,0.746619,22.14,22.06,0.2,0.2,3
250,0.065569,0.556477,0.729506,0.739967,21.75,21.66,0.2,0.2,3
250,0.072188,0.557466,0.730354,0.742674,22.26,22.18,0.2,0.2,3
250,0.082498,0.5593,0.731957,0.735747,22.14,22.05,0.2,0.2,3
250,0.063476,0.557224,0.729592,0.730209,21.85,21.78,0.2,0.2,3
250,0.070791,0.556803,0.730613,0.737975,22.41,22.34,0.2,0.2,3
250,0.067696,0.55668,0.729171,0.733901,22.12,22.05,0.2,0.2,3
250,0.066659,0.557408,0.730822,0.733036,22.15,22.08,0.2,0.2,3
250,0.07518,0.559015,0.731571,0.741764,22.22,22.15,0.2,0.2,3
250,0.069093,0.557261,0.730767,0.7403,22.76,22.68,0.2,0.2,3
250,0.067234,0.557726,0.731502,0.72826,22.49,22.42,0.2,0.2,3
250,0.061669,0.555929,0.728667,0.729994,22.72,22.63,0.2,0.2,3
250,0.076057,0.557921,0.731901,0.725262,22.78,22.7,0.2,0.2,3
250,0.068018,0.555934,0.729098,0.722441,22.62,22.54,0.2,0.2,3
250,0.073006,0.556593,0.729713,0.743728,22.58,22.49,0.2,0.2,3
250,0.071757,0.557399,0.73038,0.735333,22.66,22.59,0.2,0.2,3
250,0.068604,0.557292,0.730668,0.740686,23.14,23.05,0.2,0.2,3
250,0.070554,0.556826,0.729918,0.736801,22.93,22.86,0.2,0.2,3
250,0.072406,0.558281,0.731292,0.741483,23.11,23.04,0.2,0.2,3
250,0.074107,0.558802,0.732132,0.740293,23.12,23.04,0.2,0.2,3
250,0.068018,0.557085,0.731378,0.75319,23.29,23.21,0.2,0.2,3

200,0.085401,0.56721,0.73859,0.733938,19.07,18.99,0.2,0.2,3
300,0.065821,0.549421,0.723936,0.74927,28.68,28.58,0.2,0.2,3
400,0.054076,0.533567,0.711654,0.768327,40.4,40.27,0.2,0.2,3
