Random
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
600,0.518030,0.703902,47.65,47.48,600,10,10,0.20,0.20,2,20.77,20.68,2.69,2.68,47.65,47.48
700,0.506474,0.694558,54.37,54.18,700,10,10,0.20,0.20,2,24.27,24.17,3.01,3.00,54.37,54.19
800,0.501397,0.690222,62.70,62.52,800,10,10,0.20,0.20,2,29.26,29.17,3.34,3.33,62.70,62.52
900,0.495844,0.687160,71.23,70.97,900,10,10,0.20,0.20,2,33.38,33.21,3.79,3.78,71.23,70.97
1000,0.489503,0.681266,78.94,78.71,1000,10,10,0.20,0.20,2,38.15,38.02,4.08,4.07,78.95,78.71

SILK
K,MSE,MAE,WTime,CTime,k,MaxIter,Iter,GMode,LMode,Seeding,InitWTime,InitCTime,IterWTime,IterCTime,TotWTime,TotCTime
100,0.600190,0.762271,12.35,12.29,100,10,10,0.20,0.20,3,2.23,2.21,1.01,1.01,12.35,12.30
200,0.566409,0.737257,16.56,16.50,200,10,10,0.20,0.20,3,3.84,3.82,1.27,1.27,16.56,16.50
300,0.547703,0.720723,20.37,20.27,300,10,10,0.20,0.20,3,5.56,5.50,1.48,1.48,20.38,20.27
400,0.532136,0.707362,24.23,24.15,400,10,10,0.20,0.20,3,6.53,6.50,1.77,1.76,24.23,24.15
500,0.520377,0.699727,30.57,30.47,500,10,10,0.20,0.20,3,9.26,9.22,2.13,2.12,30.57,30.47
600,0.508859,0.688109,34.45,34.33,600,10,10,0.20,0.20,3,10.64,10.58,2.38,2.38,34.45,34.33
700,0.500793,0.682954,42.04,41.92,700,10,10,0.20,0.20,3,15.27,15.22,2.68,2.67,42.04,41.92
800,0.494926,0.676776,47.75,47.57,800,10,10,0.20,0.20,3,18.03,17.93,2.97,2.96,47.75,47.57
900,0.488993,0.671481,51.58,51.43,900,10,10,0.20,0.20,3,19.21,19.15,3.24,3.23,51.58,51.43
1000,0.482774,0.666729,71.62,45.36,1000,10,10,0.20,0.20,3,33.36,21.76,3.83,2.36,71.62,45.36


100,0.602865,0.765230,12.67,12.61,100,10,10,0.20,0.20,3,2.24,2.21,1.04,1.04,12.67,12.61
100,0.601382,0.763701,12.81,12.73,100,10,10,0.20,0.20,3,2.23,2.19,1.06,1.05,12.81,12.73
100,0.600190,0.762271,12.35,12.29,100,10,10,0.20,0.20,3,2.23,2.21,1.01,1.01,12.35,12.30
100,0.601937,0.764120,12.43,12.36,100,10,10,0.20,0.20,3,2.18,2.14,1.03,1.02,12.43,12.36
100,0.602287,0.764751,12.74,12.66,100,10,10,0.20,0.20,3,2.31,2.27,1.04,1.04,12.74,12.66
100,0.602009,0.764643,12.36,12.27,100,10,10,0.20,0.20,3,2.30,2.24,1.01,1.00,12.36,12.27
100,0.602344,0.764880,12.43,12.40,100,10,10,0.20,0.20,3,2.34,2.34,1.01,1.01,12.43,12.40
100,0.602953,0.765677,12.60,12.50,100,10,10,0.20,0.20,3,2.39,2.32,1.02,1.02,12.60,12.50
100,0.601867,0.764825,12.60,12.55,100,10,10,0.20,0.20,3,2.33,2.31,1.03,1.02,12.60,12.55
100,0.602480,0.765542,12.79,12.74,100,10,10,0.20,0.20,3,2.42,2.40,1.04,1.03,12.79,12.75
100,0.602451,0.765949,12.58,12.53,100,10,10,0.20,0.20,3,2.37,2.34,1.02,1.02,12.59,12.53
100,0.601753,0.764134,12.62,12.52,100,10,10,0.20,0.20,3,2.36,2.30,1.03,1.02,12.63,12.52
100,0.605724,0.768219,12.60,12.56,100,10,10,0.20,0.20,3,2.46,2.46,1.01,1.01,12.60,12.56
100,0.602546,0.763812,12.89,12.81,100,10,10,0.20,0.20,3,2.66,2.60,1.02,1.02,12.89,12.81
100,0.602169,0.765018,13.14,13.07,100,10,10,0.20,0.20,3,2.59,2.55,1.06,1.05,13.14,13.07
100,0.602267,0.764939,12.90,12.86,100,10,10,0.20,0.20,3,2.58,2.57,1.03,1.03,12.90,12.86
100,0.603932,0.767402,12.71,12.67,100,10,10,0.20,0.20,3,2.54,2.53,1.02,1.01,12.71,12.67

200,0.570713,0.738746,16.30,16.22,200,10,10,0.20,0.20,3,3.68,3.64,1.26,1.26,16.30,16.23
200,0.568894,0.737945,16.42,16.38,200,10,10,0.20,0.20,3,3.77,3.76,1.27,1.26,16.42,16.38
200,0.570266,0.738495,15.89,15.78,200,10,10,0.20,0.20,3,3.62,3.54,1.23,1.22,15.89,15.78
200,0.571185,0.740206,16.64,16.59,200,10,10,0.20,0.20,3,4.02,4.00,1.26,1.26,16.64,16.59
200,0.570318,0.739144,16.21,16.09,200,10,10,0.20,0.20,3,3.77,3.69,1.24,1.24,16.21,16.09
200,0.569151,0.737755,16.82,16.77,200,10,10,0.20,0.20,3,4.26,4.24,1.26,1.25,16.82,16.77
200,0.566955,0.737572,16.14,16.07,200,10,10,0.20,0.20,3,3.68,3.64,1.25,1.24,16.14,16.07
200,0.566409,0.737257,16.56,16.50,200,10,10,0.20,0.20,3,3.84,3.82,1.27,1.27,16.56,16.50
200,0.568010,0.738259,16.47,16.41,200,10,10,0.20,0.20,3,3.99,3.97,1.25,1.25,16.47,16.42
200,0.571469,0.741671,16.59,16.47,200,10,10,0.20,0.20,3,4.05,3.98,1.25,1.25,16.59,16.47
200,0.568160,0.738687,16.30,16.24,200,10,10,0.20,0.20,3,3.87,3.86,1.24,1.24,16.30,16.24
200,0.571268,0.739667,16.62,16.55,200,10,10,0.20,0.20,3,4.14,4.11,1.25,1.24,16.62,16.55
200,0.569075,0.739589,16.67,16.55,200,10,10,0.20,0.20,3,4.27,4.19,1.24,1.24,16.67,16.55
200,0.570613,0.739099,16.61,16.55,200,10,10,0.20,0.20,3,4.24,4.22,1.24,1.23,16.62,16.55

300,0.546996,0.720741,19.86,19.80,300,10,10,0.20,0.20,3,4.75,4.74,1.51,1.51,19.86,19.80
300,0.549452,0.721804,19.94,19.87,300,10,10,0.20,0.20,3,5.05,5.03,1.49,1.48,19.94,19.87
300,0.547681,0.720638,20.12,20.02,300,10,10,0.20,0.20,3,5.00,4.93,1.51,1.51,20.12,20.02
300,0.550143,0.722248,20.05,20.00,300,10,10,0.20,0.20,3,5.22,5.20,1.48,1.48,20.06,20.00
300,0.547703,0.720935,20.32,20.21,300,10,10,0.20,0.20,3,5.27,5.21,1.51,1.50,20.33,20.21
300,0.547703,0.720723,20.37,20.27,300,10,10,0.20,0.20,3,5.56,5.50,1.48,1.48,20.38,20.27
300,0.546959,0.720346,20.82,20.76,300,10,10,0.20,0.20,3,5.86,5.83,1.50,1.49,20.82,20.76
300,0.547834,0.721237,20.72,20.66,300,10,10,0.20,0.20,3,5.80,5.78,1.49,1.49,20.72,20.66
300,0.547023,0.721746,20.96,20.85,300,10,10,0.20,0.20,3,5.55,5.48,1.54,1.54,20.96,20.85
300,0.547710,0.720777,21.29,21.16,300,10,10,0.20,0.20,3,6.27,6.18,1.50,1.50,21.29,21.16
300,0.548860,0.722070,21.24,21.17,300,10,10,0.20,0.20,3,6.07,6.04,1.52,1.51,21.24,21.17
300,0.548642,0.722485,21.24,21.19,300,10,10,0.20,0.20,3,6.26,6.24,1.50,1.50,21.25,21.19

400,0.532136,0.707362,24.23,24.15,400,10,10,0.20,0.20,3,6.53,6.50,1.77,1.76,24.23,24.15
400,0.532864,0.708706,24.66,24.58,400,10,10,0.20,0.20,3,6.84,6.81,1.78,1.78,24.66,24.58
400,0.532579,0.708599,25.16,25.03,400,10,10,0.20,0.20,3,7.27,7.20,1.79,1.78,25.16,25.04
400,0.532877,0.709764,24.85,24.78,400,10,10,0.20,0.20,3,6.82,6.80,1.80,1.80,24.85,24.78
400,0.531566,0.708308,25.44,25.35,400,10,10,0.20,0.20,3,7.35,7.32,1.81,1.80,25.44,25.36
400,0.531040,0.708030,25.40,25.34,400,10,10,0.20,0.20,3,7.27,7.25,1.81,1.81,25.40,25.34
400,0.530976,0.707285,25.51,25.39,400,10,10,0.20,0.20,3,7.68,7.61,1.78,1.78,25.52,25.39
400,0.532281,0.710014,26.17,26.10,400,10,10,0.20,0.20,3,7.76,7.74,1.84,1.84,26.17,26.10
400,0.534343,0.712899,26.85,26.72,400,10,10,0.20,0.20,3,8.12,8.05,1.87,1.87,26.85,26.72
400,0.533346,0.710931,26.75,26.61,400,10,10,0.20,0.20,3,8.25,8.17,1.85,1.84,26.75,26.61
400,0.532307,0.709207,26.66,26.57,400,10,10,0.20,0.20,3,8.32,8.28,1.83,1.83,26.66,26.57
400,0.532794,0.710306,27.39,27.28,400,10,10,0.20,0.20,3,8.74,8.69,1.86,1.86,27.39,27.28

500,0.520405,0.699802,30.04,29.88,500,10,10,0.20,0.20,3,9.01,8.92,2.10,2.10,30.04,29.88
500,0.520377,0.699727,30.57,30.47,500,10,10,0.20,0.20,3,9.26,9.22,2.13,2.12,30.57,30.47
500,0.519706,0.699342,30.15,30.08,500,10,10,0.20,0.20,3,9.39,9.37,2.08,2.07,30.16,30.08
500,0.520170,0.700183,30.27,30.19,500,10,10,0.20,0.20,3,9.36,9.34,2.09,2.08,30.27,30.19
500,0.523037,0.701804,30.34,30.12,500,10,10,0.20,0.20,3,9.64,9.50,2.07,2.06,30.34,30.12
500,0.520590,0.700217,30.59,30.49,500,10,10,0.20,0.20,3,9.51,9.45,2.11,2.10,30.60,30.49
500,0.519527,0.699481,30.80,30.66,500,10,10,0.20,0.20,3,9.88,9.81,2.09,2.09,30.80,30.67

600,0.512068,0.693303,35.21,35.03,600,10,10,0.20,0.20,3,11.40,11.28,2.38,2.38,35.21,35.03
600,0.508859,0.688109,34.45,34.33,600,10,10,0.20,0.20,3,10.64,10.58,2.38,2.38,34.45,34.33
600,0.513095,0.692768,35.79,35.69,600,10,10,0.20,0.20,3,11.60,11.57,2.42,2.41,35.79,35.70
600,0.510333,0.691252,34.72,34.58,600,10,10,0.20,0.20,3,11.29,11.21,2.34,2.34,34.72,34.58
600,0.511900,0.692244,36.29,36.16,600,10,10,0.20,0.20,3,12.09,12.02,2.42,2.41,36.30,36.16
600,0.509465,0.689726,35.48,35.35,600,10,10,0.20,0.20,3,11.97,11.90,2.35,2.35,35.48,35.35
600,0.510766,0.691315,37.05,36.95,600,10,10,0.20,0.20,3,13.24,13.21,2.38,2.38,37.05,36.96

700,0.504229,0.684664,40.97,40.86,700,10,10,0.20,0.20,3,13.80,13.75,2.72,2.71,40.98,40.86
700,0.500578,0.682682,40.84,40.72,700,10,10,0.20,0.20,3,13.76,13.70,2.71,2.70,40.84,40.72
700,0.503156,0.683023,41.01,40.82,700,10,10,0.20,0.20,3,14.37,14.25,2.66,2.66,41.01,40.82
700,0.503142,0.685299,41.79,41.63,700,10,10,0.20,0.20,3,14.46,14.38,2.73,2.73,41.79,41.63
700,0.502689,0.684181,40.95,40.83,700,10,10,0.20,0.20,3,14.33,14.27,2.66,2.66,40.96,40.83
700,0.502572,0.684947,41.83,41.60,700,10,10,0.20,0.20,3,14.87,14.71,2.70,2.69,41.83,41.60
700,0.504168,0.684534,41.45,41.32,700,10,10,0.20,0.20,3,14.87,14.81,2.66,2.65,41.45,41.32
700,0.500793,0.682954,42.04,41.92,700,10,10,0.20,0.20,3,15.27,15.22,2.68,2.67,42.04,41.92

800,0.493551,0.676220,46.95,46.77,800,10,10,0.20,0.20,3,17.24,17.14,2.97,2.96,46.95,46.77
800,0.497088,0.680266,47.18,47.05,800,10,10,0.20,0.20,3,17.51,17.46,2.97,2.96,47.19,47.05
800,0.495287,0.676976,47.45,47.31,800,10,10,0.20,0.20,3,17.24,17.19,3.02,3.01,47.45,47.31
800,0.495848,0.676816,46.95,46.76,800,10,10,0.20,0.20,3,18.18,18.07,2.88,2.87,46.95,46.77
800,0.495224,0.678083,47.37,47.23,800,10,10,0.20,0.20,3,17.80,17.74,2.96,2.95,47.38,47.23
800,0.495807,0.678832,48.26,48.09,800,10,10,0.20,0.20,3,18.31,18.21,3.00,2.99,48.27,48.10
800,0.494926,0.676776,47.75,47.57,800,10,10,0.20,0.20,3,18.03,17.93,2.97,2.96,47.75,47.57
800,0.495834,0.677211,48.66,48.53,800,10,10,0.20,0.20,3,18.81,18.75,2.99,2.98,48.66,48.53
800,0.493373,0.676736,48.26,48.11,800,10,10,0.20,0.20,3,18.61,18.54,2.97,2.96,48.26,48.11
800,0.493386,0.676291,48.35,48.21,800,10,10,0.20,0.20,3,18.97,18.91,2.94,2.93,48.35,48.21

900,0.488993,0.671481,51.58,51.43,900,10,10,0.20,0.20,3,19.21,19.15,3.24,3.23,51.58,51.43
900,0.490112,0.672536,52.74,52.60,900,10,10,0.20,0.20,3,19.88,19.82,3.29,3.28,52.74,52.60
900,0.488172,0.671745,54.78,54.61,900,10,10,0.20,0.20,3,21.29,21.22,3.35,3.34,54.78,54.61
900,0.489734,0.671979,55.91,55.74,900,10,10,0.20,0.20,3,22.61,22.53,3.33,3.32,55.92,55.74
900,0.488646,0.672334,56.80,54.48,900,10,10,0.20,0.20,3,21.99,21.94,3.48,3.25,56.80,54.48
900,0.489129,0.670865,66.74,38.79,900,10,10,0.20,0.20,3,24.93,16.86,4.18,2.19,66.76,38.80
900,0.487748,0.671892,57.58,47.08,900,10,10,0.20,0.20,3,23.64,15.93,3.39,3.11,57.59,47.08
900,0.489183,0.672088,54.41,54.25,900,10,10,0.20,0.20,3,22.59,22.51,3.18,3.17,54.41,54.25

1000,0.483275,0.666353,62.80,54.03,1000,10,10,0.20,0.20,3,24.89,24.81,3.79,2.92,62.81,54.03
1000,0.483388,0.667301,63.01,43.07,1000,10,10,0.20,0.20,3,25.23,17.19,3.78,2.59,63.01,43.07
1000,0.482030,0.665268,66.31,45.85,1000,10,10,0.20,0.20,3,26.27,18.38,4.00,2.75,66.32,45.85
1000,0.482570,0.666121,64.88,43.15,1000,10,10,0.20,0.20,3,28.79,19.85,3.61,2.33,64.88,43.15
1000,0.483167,0.667051,68.86,44.61,1000,10,10,0.20,0.20,3,31.62,20.94,3.72,2.37,68.86,44.61
1000,0.482774,0.666729,71.62,45.36,1000,10,10,0.20,0.20,3,33.36,21.76,3.83,2.36,71.62,45.36
100,0.600190,0.762271,12.34,12.29,100,10,10,0.20,0.20,3,2.27,2.26,1.01,1.00,12.34,12.29
