SILK
K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
500,0.037953,0.520099,0.700518,0.777331,52.29,52.14,0.2,0.2,3
500,0.040936,0.519415,0.699729,0.76785,51.68,51.54,0.2,0.2,3
500,0.039466,0.520488,0.701173,0.773678,52.74,52.57,0.2,0.2,3
500,0.040999,0.519807,0.700899,0.774782,51.86,51.71,0.2,0.2,3
500,0.040344,0.52131,0.701806,0.769087,54.53,54.37,0.2,0.2,3
500,0.038758,0.520856,0.701732,0.769478,53.58,53.42,0.2,0.2,3
500,0.035544,0.521989,0.703214,0.777581,54.66,54.5,0.2,0.2,3
500,0.038223,0.519946,0.700886,0.77534,53.55,53.38,0.2,0.2,3
500,0.038741,0.520919,0.702373,0.770804,54.05,53.87,0.2,0.2,3
500,0.036909,0.52086,0.703113,0.777415,56.65,56.47,0.2,0.2,3
500,0.040908,0.518605,0.699377,0.775015,54.29,54.13,0.2,0.2,3
500,0.040013,0.52053,0.701934,0.775631,54.96,54.81,0.2,0.2,3
500,0.037371,0.520134,0.700425,0.768003,54.54,54.39,0.2,0.2,3
500,0.041268,0.520577,0.701639,0.777162,54.38,54.21,0.2,0.2,3
500,0.042815,0.520381,0.701282,0.773058,55.16,55,0.2,0.2,3
500,0.039058,0.519695,0.701371,0.782161,55.04,54.88,0.2,0.2,3
500,0.039609,0.519575,0.700908,0.781562,55.46,55.3,0.2,0.2,3
500,0.038595,0.520802,0.701586,0.771946,56.01,55.83,0.2,0.2,3
500,0.040646,0.519952,0.700925,0.775134,57.71,57.55,0.2,0.2,3
500,0.038815,0.520893,0.702626,0.77749,56.38,56.22,0.2,0.2,3
500,0.036067,0.521291,0.703124,0.778898,81.55,81.11,0.2,0.2,3
500,0.038754,0.523277,0.705627,0.775531,83.25,82.78,0.2,0.2,3
500,0.037034,0.519902,0.702427,0.783011,86.7,86.25,0.2,0.2,3
