K,ARI,MSE,MAE,Purity,WTime,CTime,GMode,LMode,Seeding
350,0.055036,0.540685,0.718468,0.758992,32.37,32.27,0.2,0.2,3
350,0.050023,0.539427,0.71677,0.763476,33.25,33.14,0.2,0.2,3
350,0.052831,0.539393,0.716502,0.756201,33.25,33.12,0.2,0.2,3
350,0.053467,0.540438,0.717553,0.764128,34.05,33.92,0.2,0.2,3
350,0.051878,0.539721,0.716704,0.746785,33.63,33.54,0.2,0.2,3
350,0.05491,0.537365,0.714458,0.761952,33.31,33.21,0.2,0.2,3
350,0.053533,0.538851,0.716372,0.770295,33.73,33.63,0.2,0.2,3
350,0.060214,0.538943,0.715938,0.757592,33.25,33.14,0.2,0.2,3
350,0.053993,0.540243,0.717886,0.761362,33.91,33.81,0.2,0.2,3
350,0.057406,0.539514,0.716334,0.75912,34.54,34.44,0.2,0.2,3
350,0.05614,0.540427,0.717753,0.75865,34.04,33.94,0.2,0.2,3
350,0.056615,0.542289,0.71892,0.758468,33.99,33.85,0.2,0.2,3
350,0.056357,0.540083,0.717163,0.756446,34.53,34.41,0.2,0.2,3
350,0.051683,0.539219,0.716582,0.76462,34.35,34.24,0.2,0.2,3
350,0.051836,0.539172,0.71645,0.75735,34.31,34.21,0.2,0.2,3

400,0.047776,0.53189,0.710172,0.763993,35.06,34.94,0.2,0.2,3
400,0.04984,0.531795,0.710429,0.771225,36.05,35.95,0.2,0.2,3
400,0.052835,0.53244,0.710967,0.767874,35.65,35.55,0.2,0.2,3
400,0.052525,0.534148,0.712448,0.77128,36.12,36,0.2,0.2,3
400,0.053462,0.533796,0.712352,0.770211,36.19,36.06,0.2,0.2,3
400,0.045361,0.531716,0.71133,0.768892,36.01,35.89,0.2,0.2,3
400,0.051467,0.533236,0.711438,0.763647,36.29,36.13,0.2,0.2,3
400,0.049162,0.532599,0.711578,0.76506,36.74,36.61,0.2,0.2,3
400,0.045538,0.533089,0.711237,0.763435,36.48,36.33,0.2,0.2,3
400,0.047525,0.532975,0.71104,0.760114,36.53,36.37,0.2,0.2,3
400,0.049241,0.531277,0.710909,0.767709,35.88,35.7,0.2,0.2,3
400,0.048018,0.532564,0.711179,0.764218,36.45,36.33,0.2,0.2,3
400,0.049427,0.531523,0.710033,0.766047,36.75,36.62,0.2,0.2,3
400,0.045236,0.532892,0.711305,0.757863,36.57,36.41,0.2,0.2,3
400,0.051914,0.53256,0.711031,0.76444,36.14,36,0.2,0.2,3
400,0.046891,0.533849,0.712372,0.765942,36.86,36.75,0.2,0.2,3
400,0.053612,0.532366,0.71111,0.770753,36.81,36.69,0.2,0.2,3
400,0.05323,0.532572,0.710457,0.766069,36.79,36.67,0.2,0.2,3
400,0.050332,0.531593,0.709751,0.769372,36.65,36.5,0.2,0.2,3
400,0.048898,0.534109,0.713442,0.76951,37.77,37.59,0.2,0.2,3
400,0.047191,0.530396,0.709304,0.766575,37.22,37.09,0.2,0.2,3
400,0.049146,0.534039,0.712563,0.762709,36.87,36.7,0.2,0.2,3
400,0.049155,0.533648,0.711957,0.764103,37.24,37.12,0.2,0.2,3
400,0.047555,0.531242,0.709944,0.759734,37.48,37.36,0.2,0.2,3
